Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;sep-18;10718;6237;all;N/A;mean;2408;39;13267;4426;13.27;4.43
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;sep-18;23763;11990;all;N/A;mean;6200;72;13067;4432;13.07;4.43
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;sep-18;14286;7962;all;N/A;mean;4241;42;13751;3937;13.75;3.94
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;sep-18;8658;4718;all;N/A;mean;2314;36;12374;4209;12.37;4.21
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;oct-18;30408;16861;all;N/A;mean;8471;41;17079;7531;17.08;7.53
All Providers Combined;Bogotá, Bogota, Colombia;;oct-18;496867;abr-33;all;N/A;mean;136004;33;19226;8551;19.23;8.55
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;oct-18;117289;63292;all;N/A;mean;29290;53;15366;6210;15.37;6.21
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;oct-18;169208;89718;all;N/A;mean;48277;37;16971;7209;16.97;7.21
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;oct-18;33860;18494;all;N/A;mean;9997;38;17200;5778;17.20;5.78
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;oct-18;18521;10100;all;N/A;mean;5004;36;14389;4623;14.39;4.62
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;oct-18;12415;6966;all;N/A;mean;2754;42;13070;4270;13.07;4.27
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;oct-18;21420;12746;all;N/A;mean;5874;40;11269;4209;11.27;4.21
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;oct-18;13916;7826;all;N/A;mean;3473;43;14083;5043;14.08;5.04
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;oct-18;7696;4162;all;N/A;mean;2075;44;11572;3808;11.57;3.81
