Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Guainia, Colombia;;mar-22;22;8;N/A;cellular;mean;8;67;7503;9795;7.50;9.80
All Providers Combined;Huila, Colombia;;mar-22;2414;567;N/A;cellular;mean;567;72;18125;9462;18.13;9.46
All Providers Combined;La Guajira, Colombia;;mar-22;1703;331;N/A;cellular;mean;331;59;16950;10474;16.95;10.47
All Providers Combined;Magdalena, Colombia;;mar-22;1883;639;N/A;cellular;mean;639;50;19828;11225;19.83;11.23
All Providers Combined;Meta, Colombia;;mar-22;2397;767;N/A;cellular;mean;767;65;17466;10240;17.47;10.24
All Providers Combined;Narino, Colombia;;mar-22;1756;507;N/A;cellular;mean;507;67;16475;10244;16.48;10.24
All Providers Combined;North Santander, Colombia;;mar-22;2435;798;N/A;cellular;mean;798;62;13984;10291;13.98;10.29
All Providers Combined;Putumayo, Colombia;;mar-22;511;133;N/A;cellular;mean;133;89;10844;9032;10.84;9.03
All Providers Combined;Quindio, Colombia;;mar-22;1282;430;N/A;cellular;mean;430;52;18888;10783;18.89;10.78
All Providers Combined;Risaralda, Colombia;;mar-22;2237;707;N/A;cellular;mean;707;53;17213;10181;17.21;10.18
All Providers Combined;San Andrés and Providencia, Colombia;;mar-22;988;255;N/A;cellular;mean;255;100;18530;8847;18.53;8.85
All Providers Combined;Santander Department, Colombia;;mar-22;6396;1754;N/A;cellular;mean;1754;56;17746;10372;17.75;10.37
All Providers Combined;Sucre, Colombia;;mar-22;2096;354;N/A;cellular;mean;354;65;18656;10819;18.66;10.82
All Providers Combined;Tolima, Colombia;;mar-22;2714;851;N/A;cellular;mean;851;63;17682;9637;17.68;9.64
All Providers Combined;Valle del Cauca, Colombia;;mar-22;12165;4001;N/A;cellular;mean;4001;49;20930;11190;20.93;11.19
All Providers Combined;Vaupes, Colombia;;mar-22;11;4;N/A;cellular;mean;4;71;5851;6252;5.85;6.25
All Providers Combined;Vichada, Colombia;;mar-22;73;19;N/A;cellular;mean;19;364;6739;3158;6.74;3.16
All Providers Combined;Guaviare, Colombia;;mar-22;140;42;N/A;cellular;mean;42;70;16009;12440;16.01;12.44
All Providers Combined;Amazonas, Colombia;;Apr 2022;222;40;N/A;cellular;mean;40;362;5251;6292;5.25;6.29
All Providers Combined;Antioquia, Colombia;;Apr 2022;18508;6784;N/A;cellular;mean;6784;47;18276;10667;18.28;10.67
All Providers Combined;Arauca, Colombia;;Apr 2022;351;114;N/A;cellular;mean;114;65;15608;10095;15.61;10.10
All Providers Combined;Atlantico, Colombia;;Apr 2022;8922;3230;N/A;cellular;mean;3230;44;19015;11956;19.02;11.96
All Providers Combined;Bogota, Colombia;;Apr 2022;43420;15920;N/A;cellular;mean;15920;42;19296;11625;19.30;11.63
All Providers Combined;Bolivar, Colombia;;Apr 2022;3314;1049;N/A;cellular;mean;1049;48;19343;11833;19.34;11.83
All Providers Combined;Boyaca, Colombia;;Apr 2022;3055;977;N/A;cellular;mean;977;57;14500;9516;14.50;9.52
All Providers Combined;Caldas, Colombia;;Apr 2022;1974;696;N/A;cellular;mean;696;57;16031;10565;16.03;10.57
All Providers Combined;Caquetá, Colombia;;Apr 2022;795;181;N/A;cellular;mean;181;68;12322;9225;12.32;9.23
All Providers Combined;Casanare, Colombia;;Apr 2022;1273;319;N/A;cellular;mean;319;67;14790;10709;14.79;10.71
All Providers Combined;Cauca Department, Colombia;;Apr 2022;1687;502;N/A;cellular;mean;502;70;14576;9666;14.58;9.67
All Providers Combined;Cesar, Colombia;;Apr 2022;1622;523;N/A;cellular;mean;523;57;17675;10609;17.68;10.61
All Providers Combined;Choco, Colombia;;Apr 2022;938;140;N/A;cellular;mean;140;109;10355;6582;10.36;6.58
All Providers Combined;Cordoba, Colombia;;Apr 2022;1704;527;N/A;cellular;mean;527;69;20538;11040;20.54;11.04
All Providers Combined;Cundinamarca, Colombia;;Apr 2022;9302;3582;N/A;cellular;mean;3582;50;14091;9400;14.09;9.40
All Providers Combined;Guainia, Colombia;;Apr 2022;29;11;N/A;cellular;mean;11;328;4336;4414;4.34;4.41
All Providers Combined;Huila, Colombia;;Apr 2022;1769;554;N/A;cellular;mean;554;53;16214;9251;16.21;9.25
All Providers Combined;La Guajira, Colombia;;Apr 2022;893;287;N/A;cellular;mean;287;61;15496;10807;15.50;10.81
All Providers Combined;Magdalena, Colombia;;Apr 2022;2282;722;N/A;cellular;mean;722;53;19096;11386;19.10;11.39
All Providers Combined;Meta, Colombia;;Apr 2022;2557;833;N/A;cellular;mean;833;54;16648;10535;16.65;10.54
All Providers Combined;Narino, Colombia;;Apr 2022;1790;468;N/A;cellular;mean;468;74;15585;10865;15.59;10.87
All Providers Combined;North Santander, Colombia;;Apr 2022;2638;859;N/A;cellular;mean;859;60;15682;10172;15.68;10.17
All Providers Combined;Putumayo, Colombia;;Apr 2022;546;124;N/A;cellular;mean;124;68;11838;8998;11.84;9.00
All Providers Combined;Quindio, Colombia;;Apr 2022;1577;508;N/A;cellular;mean;508;62;18146;10656;18.15;10.66
All Providers Combined;Risaralda, Colombia;;Apr 2022;2229;723;N/A;cellular;mean;723;56;16438;9784;16.44;9.78
All Providers Combined;San Andrés and Providencia, Colombia;;Apr 2022;1065;254;N/A;cellular;mean;254;104;21023;9905;21.02;9.91
All Providers Combined;Santander Department, Colombia;;Apr 2022;6931;1960;N/A;cellular;mean;1960;57;16922;10350;16.92;10.35
All Providers Combined;Sucre, Colombia;;Apr 2022;1265;397;N/A;cellular;mean;397;61;17232;10698;17.23;10.70
All Providers Combined;Tolima, Colombia;;Apr 2022;2902;980;N/A;cellular;mean;980;53;16249;9157;16.25;9.16
All Providers Combined;Valle del Cauca, Colombia;;Apr 2022;11609;3950;N/A;cellular;mean;3950;52;19967;11199;19.97;11.20
All Providers Combined;Vaupes, Colombia;;Apr 2022;18;8;N/A;cellular;mean;8;161;3060;4698;3.06;4.70
All Providers Combined;Vichada, Colombia;;Apr 2022;34;11;N/A;cellular;mean;11;187;11077;4717;11.08;4.72
All Providers Combined;Guaviare, Colombia;;Apr 2022;184;49;N/A;cellular;mean;49;50;14638;10032;14.64;10.03
All Providers Combined;Amazonas, Colombia;;may-22;173;49;N/A;cellular;mean;49;343;7358;4525;7.36;4.53
All Providers Combined;Antioquia, Colombia;;may-22;19989;6752;N/A;cellular;mean;6752;46;18388;11114;18.39;11.11
All Providers Combined;Arauca, Colombia;;may-22;309;115;N/A;cellular;mean;115;62;15513;9200;15.51;9.20
All Providers Combined;Atlantico, Colombia;;may-22;8860;3110;N/A;cellular;mean;3110;41;18930;12092;18.93;12.09
All Providers Combined;Bogota, Colombia;;may-22;44889;15726;N/A;cellular;mean;15726;39;19787;11866;19.79;11.87
All Providers Combined;Bolivar, Colombia;;may-22;2684;944;N/A;cellular;mean;944;47;19028;12223;19.03;12.22
All Providers Combined;Boyaca, Colombia;;may-22;2394;826;N/A;cellular;mean;826;48;15573;10173;15.57;10.17
All Providers Combined;Caldas, Colombia;;may-22;1955;660;N/A;cellular;mean;660;56;16738;10325;16.74;10.33
All Providers Combined;Caquetá, Colombia;;may-22;814;233;N/A;cellular;mean;233;87;12145;7934;12.15;7.93
All Providers Combined;Casanare, Colombia;;may-22;1088;317;N/A;cellular;mean;317;53;15334;9604;15.33;9.60
All Providers Combined;Cauca Department, Colombia;;may-22;1435;505;N/A;cellular;mean;505;67;14683;9287;14.68;9.29
All Providers Combined;Cesar, Colombia;;may-22;1677;477;N/A;cellular;mean;477;49;17276;10469;17.28;10.47
