Aggregate Date,Provider,Location,5G (%),5G Roaming (%),4G (%),4G Roaming (%),3G (%),3G Roaming (%),2G (%),2G Roaming (%),No Coverage (%),5G Sample Count,5G Roaming Sample Count,4G Sample Count,4G Roaming Sample Count,3G Sample Count,3G Roaming Sample Count,2G Sample Count,2G Roaming Sample Count,No Coverage Sample Count,Total Sample Count,Total Device Count,Total Scan Count
2019,All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",0,0,49.75,2.01,17.62,2.43,1.42,0.36,26.37,0,0,35448908,835909,10620604,1363932,602445,172305,6289025,55333128,105410,101374224
2019,All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",0,0,51.71,2.46,20.19,2.76,2.09,0.42,20.33,0,0,6123984,141383,2092890,190092,163949,53329,901047,9666674,18767,17222100
2019,All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",0,0,56.45,1.74,19.82,2.2,1.5,0.35,17.9,0,0,8078863,146406,2916980,204953,202168,51100,1187643,12788113,25389,24036504
2019,All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",0,0,58.99,1.93,16.79,2.82,1.7,0.41,17.32,0,0,5240725,148732,1302293,160125,93295,21965,538324,7505459,15059,13263577
2019,All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",0,0,59.95,1.59,18.26,3.77,1.87,0.58,13.94,0,0,2661356,13356,635955,33804,39673,5275,259344,3648763,9440,6773031
2019,All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",0,0,57.24,1.92,17.34,1.73,1.13,0.26,20.34,0,0,16043510,452879,4274538,393016,234664,71511,2061978,23532096,41339,43118091
2019,All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",0,0,57.12,1.76,19.14,1.95,1.34,0.3,18.34,0,0,7500171,216835,2344553,210502,95260,28363,1035078,11430762,22911,21757888
2019,All Providers Combined,"Manizales, Manizales, Caldas, Colombia",0,0,51.82,7.16,23.1,2.58,1.62,0.35,13.33,0,0,3256629,413871,1525435,113772,98742,15356,388237,5812042,10049,10735353
2019,All Providers Combined,"Popayán, Popayán, Cauca, Colombia",0,0,46.22,8.55,22.79,3.08,2.52,0.4,16.4,0,0,2820299,462808,1270397,75812,110969,11205,414981,5166471,8594,9405903
2019,All Providers Combined,"Pasto, Pasto, Narino, Colombia",0,0,46.77,11.55,20.53,1.94,2.89,0.36,15.92,0,0,2731254,664278,1011520,50851,125130,9120,412282,5004435,8728,9478522
2019,All Providers Combined,"Armenia, Armenia, Quindio, Colombia",0,0,49.67,10.5,21.4,2.67,1.39,0.27,14.06,0,0,2504990,481920,1161276,66513,46698,10077,336294,4607768,10190,8200420
2019,All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",0,0,48.2,10.16,23,2.49,1.3,0.27,14.54,0,0,3988018,717008,1864272,128296,88976,13392,647930,7447892,16667,14683652
2019,All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",0,0,59.26,1.68,19.96,2.22,1.11,0.28,15.44,0,0,3213780,39038,1045679,75871,57808,27842,392105,4852123,12343,8933060
2019,All Providers Combined,"Montería, Montería, Córdoba, Colombia",0,0,62,1.61,19.76,1.88,1.03,0.33,13.34,0,0,2618559,34392,720477,33222,55564,14643,244842,3721699,7236,6836624
2019,All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",0,0,58.78,1.57,21.7,2.27,1.3,0.4,13.93,0,0,1550755,30188,480943,35698,26098,10288,197118,2331088,5413,4056183
2020,All Providers Combined,"Bogota, Colombia",0,0,73.19,4.29,12.54,2.35,0.99,0.22,6.37,0,0,149840805,10793831,24495658,4531072,1802965,402429,5006515,196873275,225850,387160229
2020,All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",0,0,53.67,19.96,17.34,1.59,1.49,0.15,5.75,0,0,22051460,8005525,6816051,477311,529148,58603,813257,38751355,51359,79507814
2020,All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",0,0,72.13,2.01,16.31,1.89,0.73,0.21,6.67,54,0,29001013,437699,6225199,584679,243543,61899,897745,37451831,60730,85642034
2020,All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",0,0,69.01,1.73,20.01,2.15,1.41,0.25,5.42,0,0,5936756,85118,1655136,108618,129030,13930,234276,8162864,13137,15996900
2020,All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",0,0,71.07,2,18.54,1.56,1.33,0.2,5.26,0,0,7414124,131876,1932790,92270,154640,23929,164560,9914189,17626,21732599
