Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Risaralda, Colombia;;sep-20;94014;23470;all;N/A;median;23470;26;21128;5285;21.13;5.29
All Providers Combined;San Andrés and Providencia, Colombia;;sep-20;386;117;all;N/A;median;117;51;1974;1924;1.97;1.92
All Providers Combined;Santander Department, Colombia;;sep-20;204680;49396;all;N/A;median;49396;26;28078;5977;28.08;5.98
All Providers Combined;Sucre, Colombia;;sep-20;13785;3790;all;N/A;median;3790;29;13212;4717;13.21;4.72
All Providers Combined;Tolima, Colombia;;sep-20;48248;13170;all;N/A;median;13170;22;16148;5389;16.15;5.39
All Providers Combined;Valle del Cauca, Colombia;;sep-20;302165;77619;all;N/A;median;77619;22;24883;6051;24.88;6.05
All Providers Combined;Vichada, Colombia;;sep-20;14;6;all;N/A;median;6;64;2153;1448;2.15;1.45
All Providers Combined;Guaviare, Colombia;;sep-20;475;65;all;N/A;median;65;25;5029;2050;5.03;2.05
All Providers Combined;Vaupes, Colombia;;oct-20;;;all;N/A;median;;;;;;
All Providers Combined;Amazonas, Colombia;;oct-20;33;19;all;N/A;median;19;267;1108;997;1.11;1.00
All Providers Combined;Antioquia, Colombia;;oct-20;403316;115255;all;N/A;median;115255;19;26558;5298;26.56;5.30
All Providers Combined;Arauca, Colombia;;oct-20;1444;365;all;N/A;median;365;43;4498;1926;4.50;1.93
All Providers Combined;Atlantico, Colombia;;oct-20;115394;34275;all;N/A;median;34275;29;24472;5475;24.47;5.48
All Providers Combined;Bogota, Colombia;;oct-20;994579;283301;all;N/A;median;283301;12;31510;7307;31.51;7.31
All Providers Combined;Bolivar, Colombia;;oct-20;61850;15799;all;N/A;median;15799;26;22615;5176;22.62;5.18
All Providers Combined;Boyaca, Colombia;;oct-20;42699;10455;all;N/A;median;10455;19;14531;5290;14.53;5.29
All Providers Combined;Caldas, Colombia;;oct-20;62342;13995;all;N/A;median;13995;24;21430;5221;21.43;5.22
All Providers Combined;Caquetá, Colombia;;oct-20;7158;1577;all;N/A;median;1577;32;12734;6003;12.73;6.00
All Providers Combined;Casanare, Colombia;;oct-20;13196;3143;all;N/A;median;3143;19;18783;5646;18.78;5.65
All Providers Combined;Cauca Department, Colombia;;oct-20;44907;11022;all;N/A;median;11022;29;14837;5584;14.84;5.58
All Providers Combined;Cesar, Colombia;;oct-20;35056;7809;all;N/A;median;7809;34;17612;5282;17.61;5.28
All Providers Combined;Choco, Colombia;;oct-20;2174;486;all;N/A;median;486;45;4997;839;5.00;0.84
All Providers Combined;Cordoba, Colombia;;oct-20;34115;8484;all;N/A;median;8484;28;13820;5107;13.82;5.11
All Providers Combined;Cundinamarca, Colombia;;oct-20;182701;52730;all;N/A;median;52730;14;23798;6175;23.80;6.18
All Providers Combined;Guainia, Colombia;;oct-20;1;1;all;N/A;median;1;65;51037;8231;51.04;8.23
All Providers Combined;Huila, Colombia;;oct-20;45626;12186;all;N/A;median;12186;27;10280;5207;10.28;5.21
All Providers Combined;La Guajira, Colombia;;oct-20;7818;2177;all;N/A;median;2177;40;15970;5993;15.97;5.99
All Providers Combined;Magdalena, Colombia;;oct-20;52577;15442;all;N/A;median;15442;26;25134;5998;25.13;6.00
All Providers Combined;Meta, Colombia;;oct-20;37044;9814;all;N/A;median;9814;17;22398;5977;22.40;5.98
All Providers Combined;Narino, Colombia;;oct-20;37893;9692;all;N/A;median;9692;33;17284;5894;17.28;5.89
All Providers Combined;North Santander, Colombia;;oct-20;55387;15227;all;N/A;median;15227;34;18042;5866;18.04;5.87
All Providers Combined;Putumayo, Colombia;;oct-20;4610;949;all;N/A;median;949;29;8515;7388;8.52;7.39
All Providers Combined;Quindio, Colombia;;oct-20;35685;7761;all;N/A;median;7761;28;18976;5104;18.98;5.10
All Providers Combined;Risaralda, Colombia;;oct-20;90870;23220;all;N/A;median;23220;26;20932;5375;20.93;5.38
All Providers Combined;San Andrés and Providencia, Colombia;;oct-20;741;164;all;N/A;median;164;60;1595;1818;1.60;1.82
All Providers Combined;Santander Department, Colombia;;oct-20;189815;46007;all;N/A;median;46007;26;28488;6088;28.49;6.09
All Providers Combined;Sucre, Colombia;;oct-20;14233;3912;all;N/A;median;3912;30;13766;4855;13.77;4.86
All Providers Combined;Tolima, Colombia;;oct-20;49023;13423;all;N/A;median;13423;27;17189;5808;17.19;5.81
All Providers Combined;Valle del Cauca, Colombia;;oct-20;264927;71718;all;N/A;median;71718;21;26263;6514;26.26;6.51
All Providers Combined;Vichada, Colombia;;oct-20;11;7;all;N/A;median;7;43;3671;1837;3.67;1.84
All Providers Combined;Guaviare, Colombia;;oct-20;492;87;all;N/A;median;87;20;6197;3421;6.20;3.42
All Providers Combined;Antioquia, Colombia;;nov-20;372265;107188;all;N/A;median;107188;19;28396;5585;28.40;5.59
All Providers Combined;Arauca, Colombia;;nov-20;1691;406;all;N/A;median;406;38;5410;3144;5.41;3.14
All Providers Combined;Atlantico, Colombia;;nov-20;104252;31269;all;N/A;median;31269;33;24894;5537;24.89;5.54
All Providers Combined;Bogota, Colombia;;nov-20;950270;276124;all;N/A;median;276124;12;33181;8112;33.18;8.11
All Providers Combined;Bolivar, Colombia;;nov-20;53134;14488;all;N/A;median;14488;31;23322;5239;23.32;5.24
All Providers Combined;Boyaca, Colombia;;nov-20;38932;9793;all;N/A;median;9793;19;14105;5269;14.11;5.27
All Providers Combined;Caldas, Colombia;;nov-20;67568;14088;all;N/A;median;14088;24;22817;5235;22.82;5.24
All Providers Combined;Caquetá, Colombia;;nov-20;6847;1634;all;N/A;median;1634;31;16172;6628;16.17;6.63
All Providers Combined;Casanare, Colombia;;nov-20;11653;3052;all;N/A;median;3052;20;19404;5708;19.40;5.71
All Providers Combined;Cauca Department, Colombia;;nov-20;38888;10189;all;N/A;median;10189;29;14569;5872;14.57;5.87
All Providers Combined;Cesar, Colombia;;nov-20;28267;7138;all;N/A;median;7138;36;20763;5765;20.76;5.77
All Providers Combined;Choco, Colombia;;nov-20;2007;532;all;N/A;median;532;45;4838;914;4.84;0.91
All Providers Combined;Cordoba, Colombia;;nov-20;33048;8129;all;N/A;median;8129;34;14114;5190;14.11;5.19
All Providers Combined;Cundinamarca, Colombia;;nov-20;165100;48298;all;N/A;median;48298;14;26382;6583;26.38;6.58
All Providers Combined;Guainia, Colombia;;nov-20;7;2;all;N/A;median;2;80;1173;836;1.17;0.84
All Providers Combined;Huila, Colombia;;nov-20;43390;11297;all;N/A;median;11297;28;10725;5531;10.73;5.53
All Providers Combined;La Guajira, Colombia;;nov-20;8430;2186;all;N/A;median;2186;43;15364;6445;15.36;6.45
All Providers Combined;Magdalena, Colombia;;nov-20;47664;14515;all;N/A;median;14515;28;24485;6170;24.49;6.17
All Providers Combined;Meta, Colombia;;nov-20;36511;9502;all;N/A;median;9502;17;24375;6318;24.38;6.32
All Providers Combined;Narino, Colombia;;nov-20;35003;9074;all;N/A;median;9074;32;17284;6269;17.28;6.27
All Providers Combined;North Santander, Colombia;;nov-20;50550;13967;all;N/A;median;13967;38;19970;6171;19.97;6.17
All Providers Combined;Putumayo, Colombia;;nov-20;4580;1016;all;N/A;median;1016;29;9020;8875;9.02;8.88
All Providers Combined;Quindio, Colombia;;nov-20;31926;7200;all;N/A;median;7200;28;21267;5125;21.27;5.13
All Providers Combined;Risaralda, Colombia;;nov-20;82285;21529;all;N/A;median;21529;26;21502;5363;21.50;5.36
All Providers Combined;San Andrés and Providencia, Colombia;;nov-20;333;105;all;N/A;median;105;91;1378;1835;1.38;1.84
