Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Movistar;Narino, Colombia;;feb-18;1776;1058;all;N/A;median;374;48;4884;861;4.88;0.86
Movistar;North Santander, Colombia;;feb-18;1;1;all;N/A;median;1;61;2202;541;2.20;0.54
Movistar;Putumayo, Colombia;;feb-18;458;265;all;N/A;median;70;50;5247;924;5.25;0.92
Movistar;Quindio, Colombia;;feb-18;2135;1394;all;N/A;median;337;42;5071;897;5.07;0.90
Movistar;Risaralda, Colombia;;feb-18;198;139;all;N/A;median;62;42;4044;822;4.04;0.82
Movistar;San Andrés and Providencia, Colombia;;feb-18;37;18;all;N/A;median;14;179;596;448;0.60;0.45
Movistar;Santander Department, Colombia;;feb-18;2607;1696;all;N/A;median;619;40;5102;878;5.10;0.88
Movistar;Sucre, Colombia;;feb-18;1137;619;all;N/A;median;470;75;4454;716;4.45;0.72
Movistar;Tolima, Colombia;;feb-18;9135;5569;all;N/A;median;2790;35;4807;821;4.81;0.82
Movistar;Valle del Cauca, Colombia;;feb-18;23314;13953;all;N/A;median;7330;43;5808;841;5.81;0.84
Movistar;Guaviare, Colombia;;feb-18;3;2;all;N/A;median;1;10;4416;5147;4.42;5.15
Claro;Antioquia, Colombia;;feb-18;62850;28712;all;N/A;median;16721;42;9488;2147;9.49;2.15
Claro;Atlantico, Colombia;;feb-18;14100;7427;all;N/A;median;4284;17;10118;2243;10.12;2.24
Claro;Bogota, Colombia;;feb-18;317189;134940;all;N/A;median;73490;18;8538;2098;8.54;2.10
Claro;Bolivar, Colombia;;feb-18;3318;1706;all;N/A;median;1102;15;9591;2147;9.59;2.15
Claro;Boyaca, Colombia;;feb-18;6808;3233;all;N/A;median;1951;21;5258;1265;5.26;1.27
Claro;Caldas, Colombia;;feb-18;6253;2996;all;N/A;median;1660;42;6334;1871;6.33;1.87
Claro;Caquetá, Colombia;;feb-18;936;408;all;N/A;median;168;32;5215;1850;5.22;1.85
Claro;Casanare, Colombia;;feb-18;2218;1227;all;N/A;median;814;21;6094;1930;6.09;1.93
Claro;Cauca Department, Colombia;;feb-18;8326;3513;all;N/A;median;1801;63;5271;1548;5.27;1.55
Claro;Cesar, Colombia;;feb-18;2469;1291;all;N/A;median;819;32;8393;2020;8.39;2.02
Claro;Choco, Colombia;;feb-18;63;40;all;N/A;median;32;56;7691;3439;7.69;3.44
Claro;Cordoba, Colombia;;feb-18;2161;1206;all;N/A;median;711;31;8627;2209;8.63;2.21
Claro;Cundinamarca, Colombia;;feb-18;49488;22232;all;N/A;median;12795;20;7042;2019;7.04;2.02
Claro;Huila, Colombia;;feb-18;8647;4146;all;N/A;median;2217;30;5294;1658;5.29;1.66
Claro;La Guajira, Colombia;;feb-18;217;106;all;N/A;median;84;64;5071;1072;5.07;1.07
Claro;Magdalena, Colombia;;feb-18;4388;2262;all;N/A;median;1478;41;9496;2028;9.50;2.03
Claro;Meta, Colombia;;feb-18;6561;3116;all;N/A;median;1412;21;6585;2278;6.59;2.28
Claro;Narino, Colombia;;feb-18;6629;3215;all;N/A;median;1896;67;5242;1230;5.24;1.23
Claro;Putumayo, Colombia;;feb-18;4;4;all;N/A;median;3;92;4265;2638;4.27;2.64
Claro;Quindio, Colombia;;feb-18;3676;1886;all;N/A;median;1101;49;6674;1972;6.67;1.97
Claro;Risaralda, Colombia;;feb-18;8049;3932;all;N/A;median;2227;49;8369;2056;8.37;2.06
Claro;San Andrés and Providencia, Colombia;;feb-18;9;4;all;N/A;median;2;196;1977;707;1.98;0.71
Claro;Santander Department, Colombia;;feb-18;16928;7846;all;N/A;median;4765;41;7465;1968;7.47;1.97
Claro;Sucre, Colombia;;feb-18;890;424;all;N/A;median;276;26;8010;2180;8.01;2.18
Claro;Tolima, Colombia;;feb-18;7912;4000;all;N/A;median;2397;18;5370;1572;5.37;1.57
Claro;Valle del Cauca, Colombia;;feb-18;67032;31401;all;N/A;median;16846;59;7313;1998;7.31;2.00
ETB;Antioquia, Colombia;;feb-18;680;344;all;N/A;median;243;30;6646;3136;6.65;3.14
ETB;Atlantico, Colombia;;feb-18;462;91;all;N/A;median;49;91;3656;5770;3.66;5.77
ETB;Bogota, Colombia;;feb-18;130040;72922;all;N/A;median;41814;11;12162;7142;12.16;7.14
ETB;Bolivar, Colombia;;feb-18;4;4;all;N/A;median;4;37;2032;1667;2.03;1.67
ETB;Boyaca, Colombia;;feb-18;120;71;all;N/A;median;54;19;8868;8515;8.87;8.52
ETB;Caldas, Colombia;;feb-18;2;2;all;N/A;median;2;58;2802;3752;2.80;3.75
ETB;Cauca Department, Colombia;;feb-18;2;2;all;N/A;median;2;49;7861;5602;7.86;5.60
ETB;Cesar, Colombia;;feb-18;32;18;all;N/A;median;10;51;1772;1557;1.77;1.56
ETB;Cordoba, Colombia;;feb-18;91;31;all;N/A;median;9;38;7466;9574;7.47;9.57
ETB;Cundinamarca, Colombia;;feb-18;14245;7659;all;N/A;median;5241;16;10287;5760;10.29;5.76
ETB;Huila, Colombia;;feb-18;208;70;all;N/A;median;38;39;3986;2297;3.99;2.30
ETB;La Guajira, Colombia;;feb-18;3;3;all;N/A;median;3;42;4463;2964;4.46;2.96
ETB;Magdalena, Colombia;;feb-18;32;23;all;N/A;median;16;40;2968;2581;2.97;2.58
ETB;Meta, Colombia;;feb-18;2304;1212;all;N/A;median;521;34;4152;1027;4.15;1.03
ETB;Narino, Colombia;;feb-18;5;5;all;N/A;median;5;22;41424;40216;41.42;40.22
ETB;Quindio, Colombia;;feb-18;15;9;all;N/A;median;5;76;3774;4875;3.77;4.88
ETB;Risaralda, Colombia;;feb-18;183;91;all;N/A;median;44;47;2480;2881;2.48;2.88
ETB;Santander Department, Colombia;;feb-18;917;416;all;N/A;median;229;24;3298;1036;3.30;1.04
ETB;Tolima, Colombia;;feb-18;70;56;all;N/A;median;42;17;18460;14604;18.46;14.60
ETB;Valle del Cauca, Colombia;;feb-18;112;61;all;N/A;median;38;60;1882;1897;1.88;1.90
ETB;Guaviare, Colombia;;feb-18;4;4;all;N/A;median;2;15;26761;27360;26.76;27.36
Movistar;Antioquia, Colombia;;mar-18;1152;715;all;N/A;median;617;42;5188;892;5.19;0.89
Movistar;Atlantico, Colombia;;mar-18;1253;728;all;N/A;median;478;70;4301;726;4.30;0.73
Movistar;Bogota, Colombia;;mar-18;36773;22062;all;N/A;median;11474;31;6455;883;6.46;0.88
Movistar;Bolivar, Colombia;;mar-18;3156;1849;all;N/A;median;1001;63;7411;964;7.41;0.96
Movistar;Boyaca, Colombia;;mar-18;3457;2168;all;N/A;median;798;36;4590;898;4.59;0.90
Movistar;Caldas, Colombia;;mar-18;695;421;all;N/A;median;145;35;4754;850;4.75;0.85
Movistar;Caquetá, Colombia;;mar-18;1053;647;all;N/A;median;180;51;4265;825;4.27;0.83
Movistar;Casanare, Colombia;;mar-18;490;320;all;N/A;median;113;40;5085;872;5.09;0.87
Movistar;Cauca Department, Colombia;;mar-18;1235;741;all;N/A;median;445;44;4330;799;4.33;0.80
Movistar;Cesar, Colombia;;mar-18;1429;945;all;N/A;median;285;66;5460;879;5.46;0.88
Movistar;Choco, Colombia;;mar-18;717;504;all;N/A;median;155;51;4671;755;4.67;0.76
Movistar;Cordoba, Colombia;;mar-18;2034;1283;all;N/A;median;523;61;5362;826;5.36;0.83
Movistar;Cundinamarca, Colombia;;mar-18;30543;17892;all;N/A;median;10681;33;5276;804;5.28;0.80
Movistar;Huila, Colombia;;mar-18;3249;1726;all;N/A;median;734;42;4893;917;4.89;0.92
Movistar;La Guajira, Colombia;;mar-18;794;554;all;N/A;median;168;66;4974;826;4.97;0.83
Movistar;Magdalena, Colombia;;mar-18;3726;2432;all;N/A;median;1223;64;5513;818;5.51;0.82
Movistar;Meta, Colombia;;mar-18;3212;2006;all;N/A;median;621;32;5118;892;5.12;0.89
Movistar;Narino, Colombia;;mar-18;1769;1014;all;N/A;median;364;46;5132;859;5.13;0.86
Movistar;North Santander, Colombia;;mar-18;2;2;all;N/A;median;2;107;3830;755;3.83;0.76
Movistar;Putumayo, Colombia;;mar-18;487;282;all;N/A;median;78;49;5121;951;5.12;0.95
Movistar;Quindio, Colombia;;mar-18;1715;1086;all;N/A;median;344;41;5153;897;5.15;0.90
Movistar;Risaralda, Colombia;;mar-18;330;217;all;N/A;median;76;43;3995;886;4.00;0.89
Movistar;San Andrés and Providencia, Colombia;;mar-18;62;34;all;N/A;median;23;187;879;576;0.88;0.58
Movistar;Santander Department, Colombia;;mar-18;3488;2182;all;N/A;median;883;37;5799;981;5.80;0.98
Movistar;Sucre, Colombia;;mar-18;814;421;all;N/A;median;330;75;3935;675;3.94;0.68
Movistar;Tolima, Colombia;;mar-18;8689;5299;all;N/A;median;2866;34;4965;831;4.97;0.83
Movistar;Valle del Cauca, Colombia;;mar-18;18189;10920;all;N/A;median;5657;40;5643;843;5.64;0.84
Movistar;Guaviare, Colombia;;mar-18;1;1;all;N/A;median;1;10;6727;7672;6.73;7.67
Claro;Antioquia, Colombia;;mar-18;87642;41174;all;N/A;median;22817;41;9994;2276;9.99;2.28
Claro;Atlantico, Colombia;;mar-18;16405;8604;all;N/A;median;4586;16;10579;2334;10.58;2.33
Claro;Bogota, Colombia;;mar-18;277069;132953;all;N/A;median;73191;15;10133;2145;10.13;2.15
Claro;Bolivar, Colombia;;mar-18;4741;2447;all;N/A;median;1658;17;8846;2073;8.85;2.07
Claro;Boyaca, Colombia;;mar-18;8068;3878;all;N/A;median;2360;21;5303;1487;5.30;1.49
Claro;Caldas, Colombia;;mar-18;7497;3518;all;N/A;median;1848;42;8075;2011;8.08;2.01
Claro;Caquetá, Colombia;;mar-18;461;236;all;N/A;median;94;32;5217;1525;5.22;1.53
Claro;Casanare, Colombia;;mar-18;2563;1376;all;N/A;median;890;20;5416;1734;5.42;1.73
Claro;Cauca Department, Colombia;;mar-18;8517;3254;all;N/A;median;1585;61;5221;1606;5.22;1.61
Claro;Cesar, Colombia;;mar-18;3163;1627;all;N/A;median;965;32;8888;2063;8.89;2.06
Claro;Choco, Colombia;;mar-18;35;20;all;N/A;median;20;50;10437;4601;10.44;4.60
Claro;Cordoba, Colombia;;mar-18;2488;1383;all;N/A;median;811;31;9184;2185;9.18;2.19
Claro;Cundinamarca, Colombia;;mar-18;70133;33866;all;N/A;median;20815;18;8049;1992;8.05;1.99
Claro;Huila, Colombia;;mar-18;10141;4804;all;N/A;median;2533;28;5276;1502;5.28;1.50
Claro;La Guajira, Colombia;;mar-18;185;99;all;N/A;median;91;54;5222;1095;5.22;1.10
Claro;Magdalena, Colombia;;mar-18;5388;2952;all;N/A;median;2049;40;9584;2053;9.58;2.05
Claro;Meta, Colombia;;mar-18;6477;3194;all;N/A;median;1546;21;8291;2287;8.29;2.29
