place_name,aggregate_date,isp_name,total_samples,consistency_broadband,consistency_ultra_broadband
Arauca,2022-02-01T00:00:00Z,Movistar,135,0.0592592592592592,0.037037037037037
Arauca,2022-03-01T00:00:00Z,All providers combined,132,0.159090909090909,0.106060606060606
Arauca,2022-03-01T00:00:00Z,Tigo,1,1,1
Arauca,2022-03-01T00:00:00Z,ETB,2,0,0
Arauca,2022-03-01T00:00:00Z,Claro,1,0,0
Arauca,2022-03-01T00:00:00Z,Movistar,128,0.15625,0.1015625
Arauca,2022-04-01T00:00:00Z,Movistar,124,0.120967741935484,0.0645161290322581
Arauca,2022-04-01T00:00:00Z,All providers combined,124,0.120967741935484,0.0645161290322581
Arauca,2022-05-01T00:00:00Z,Movistar,116,0.0431034482758621,0.00862068965517241
Arauca,2022-05-01T00:00:00Z,All providers combined,117,0.0427350427350427,0.00854700854700854
Arauca,2022-05-01T00:00:00Z,Claro,1,0,0
Arauca,2022-06-01T00:00:00Z,Movistar,113,0.0442477876106195,0.0176991150442478
Arauca,2022-06-01T00:00:00Z,All providers combined,113,0.0442477876106195,0.0176991150442478
Arauca,2022-07-01T00:00:00Z,Movistar,118,0.0593220338983051,0.0169491525423729
Arauca,2022-07-01T00:00:00Z,Claro,1,0,0
Arauca,2022-07-01T00:00:00Z,All providers combined,119,0.0588235294117647,0.0168067226890756
Arauca,2022-08-01T00:00:00Z,All providers combined,97,0.0618556701030928,0.0515463917525773
Arauca,2022-08-01T00:00:00Z,Movistar,97,0.0618556701030928,0.0515463917525773
Arauca,2022-09-01T00:00:00Z,ETB,1,0,0
Arauca,2022-09-01T00:00:00Z,Movistar,154,0.25974025974026,0.227272727272727
Arauca,2022-09-01T00:00:00Z,All providers combined,156,0.256410256410256,0.224358974358974
Arauca,2022-09-01T00:00:00Z,Claro,1,0,0
Arauca,2022-10-01T00:00:00Z,All providers combined,119,0.201680672268908,0.151260504201681
Arauca,2022-10-01T00:00:00Z,Movistar,119,0.201680672268908,0.151260504201681
Arauca,2022-11-01T00:00:00Z,Movistar,80,0.1,0.0875
Arauca,2022-11-01T00:00:00Z,All providers combined,80,0.1,0.0875
Arauca,2022-12-01T00:00:00Z,Movistar,92,0.0326086956521739,0.0217391304347826
Arauca,2022-12-01T00:00:00Z,All providers combined,92,0.0326086956521739,0.0217391304347826
Armenia,2018-01-01T00:00:00Z,ETB,2,0,0
Armenia,2018-01-01T00:00:00Z,Claro,1020,0.0323529411764706,0.00196078431372549
Armenia,2018-01-01T00:00:00Z,Movistar,179,0.00558659217877094,0
Armenia,2018-01-01T00:00:00Z,Tigo,1017,0.00983284169124877,9.8328416912487e-4
Armenia,2018-01-01T00:00:00Z,All providers combined,2218,0.0198376916140667,0.00135256988277727
Armenia,2018-02-01T00:00:00Z,Tigo,1024,0.0107421875,9.765625e-4
Armenia,2018-02-01T00:00:00Z,All providers combined,2228,0.0224416517055655,8.9766606822262e-4
Armenia,2018-02-01T00:00:00Z,Movistar,189,0.00529100529100529,0
