Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Pasto, Pasto, Narino, Colombia;;sep-18;14254;6907;all;N/A;median;3435;66;7209;1980;7.21;1.98
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;sep-18;7892;4594;all;N/A;median;2202;31;10315;2109;10.32;2.11
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;sep-18;2854;1664;all;N/A;median;738;22;9666;2117;9.67;2.12
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;sep-18;10235;6016;all;N/A;median;3006;38;10207;2111;10.21;2.11
All Providers Combined;Montería, Montería, Córdoba, Colombia;;sep-18;7305;4246;all;N/A;median;2037;33;9614;2061;9.61;2.06
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;sep-18;16326;8600;all;N/A;median;4531;36;10568;3126;10.57;3.13
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;sep-18;10866;5653;all;N/A;median;2744;52;9058;2103;9.06;2.10
All Providers Combined;Pasto, Pasto, Narino, Colombia;;oct-18;9819;5368;all;N/A;median;2550;63;8556;2014;8.56;2.01
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;oct-18;8275;4931;all;N/A;median;2412;35;9793;2064;9.79;2.06
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;oct-18;2869;1604;all;N/A;median;770;22;9772;2116;9.77;2.12
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;oct-18;12219;7287;all;N/A;median;2926;40;10263;2135;10.26;2.14
All Providers Combined;Montería, Montería, Córdoba, Colombia;;oct-18;9062;4956;all;N/A;median;2278;38;9701;2075;9.70;2.08
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;oct-18;22752;12178;all;N/A;median;5507;38;10070;2452;10.07;2.45
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;oct-18;8961;4710;all;N/A;median;2102;54;8919;2159;8.92;2.16
All Providers Combined;Pasto, Pasto, Narino, Colombia;;nov-18;10462;5368;all;N/A;median;2736;65;8669;2040;8.67;2.04
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;nov-18;8838;4898;all;N/A;median;2346;42;9507;2021;9.51;2.02
