Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Cauca Department, Colombia;;Aug 2020;48903;11486;all;N/A;mean;11486;42;24422;10935;24.42;10.94
All Providers Combined;Cesar, Colombia;;Aug 2020;33242;7950;all;N/A;mean;7950;48;29695;16695;29.70;16.70
All Providers Combined;Choco, Colombia;;Aug 2020;1879;552;all;N/A;mean;552;82;11297;4853;11.30;4.85
All Providers Combined;Cordoba, Colombia;;Aug 2020;39258;9092;all;N/A;mean;9092;46;26369;18983;26.37;18.98
All Providers Combined;Cundinamarca, Colombia;;Aug 2020;232773;59858;all;N/A;mean;59858;33;34113;15786;34.11;15.79
All Providers Combined;Guainia, Colombia;;Aug 2020;3;2;all;N/A;mean;2;56;4051;2208;4.05;2.21
All Providers Combined;Huila, Colombia;;Aug 2020;52258;13599;all;N/A;mean;13599;43;24635;13201;24.64;13.20
All Providers Combined;La Guajira, Colombia;;Aug 2020;8610;1997;all;N/A;mean;1997;61;23817;7217;23.82;7.22
All Providers Combined;Magdalena, Colombia;;Aug 2020;51494;14191;all;N/A;mean;14191;43;32017;14876;32.02;14.88
All Providers Combined;Meta, Colombia;;Aug 2020;49892;11026;all;N/A;mean;11026;32;30374;13666;30.37;13.67
All Providers Combined;Narino, Colombia;;Aug 2020;40401;9349;all;N/A;mean;9349;49;21657;9601;21.66;9.60
All Providers Combined;North Santander, Colombia;;Aug 2020;65535;16907;all;N/A;mean;16907;57;35548;22314;35.55;22.31
All Providers Combined;Putumayo, Colombia;;Aug 2020;3877;742;all;N/A;mean;742;58;12195;9867;12.20;9.87
All Providers Combined;Quindio, Colombia;;Aug 2020;28473;6657;all;N/A;mean;6657;37;28103;6163;28.10;6.16
All Providers Combined;Risaralda, Colombia;;Aug 2020;96933;23217;all;N/A;mean;23217;37;27412;7527;27.41;7.53
All Providers Combined;San Andrés and Providencia, Colombia;;Aug 2020;842;183;all;N/A;mean;183;81;9623;10937;9.62;10.94
All Providers Combined;Santander Department, Colombia;;Aug 2020;210842;48441;all;N/A;mean;48441;39;38040;22461;38.04;22.46
All Providers Combined;Sucre, Colombia;;Aug 2020;14496;3564;all;N/A;mean;3564;49;21714;10432;21.71;10.43
All Providers Combined;Tolima, Colombia;;Aug 2020;52242;14359;all;N/A;mean;14359;40;29666;17911;29.67;17.91
All Providers Combined;Valle del Cauca, Colombia;;Aug 2020;289948;76752;all;N/A;mean;76752;34;38807;22407;38.81;22.41
All Providers Combined;Vichada, Colombia;;Aug 2020;5;4;all;N/A;mean;4;75;3540;2867;3.54;2.87
