Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Vaupes, Colombia;;mar-22;11;4;N/A;cellular;median;4;63;671.033;153.445;6462;5024;6.46;5.02
All Providers Combined;Vichada, Colombia;;mar-22;73;19;N/A;cellular;median;19;83;1.284.103;268.871;3819;1642;3.82;1.64
All Providers Combined;Guaviare, Colombia;;mar-22;140;42;N/A;cellular;median;42;49;600.655;226.412;13586;12844;13.59;12.84
All Providers Combined;Amazonas, Colombia;;Apr 2022;222;40;N/A;cellular;median;40;291;3.784.405;1.422.271;1997;3940;2.00;3.94
All Providers Combined;Antioquia, Colombia;;Apr 2022;18508;6784;N/A;cellular;median;6784;36;653.094;143.654;11069;8162;11.07;8.16
All Providers Combined;Arauca, Colombia;;Apr 2022;351;114;N/A;cellular;median;114;56;829.097;114.452;11655;8061;11.66;8.06
All Providers Combined;Atlantico, Colombia;;Apr 2022;8922;3230;N/A;cellular;median;3230;32;843.111;157.957;11504;9560;11.50;9.56
All Providers Combined;Bogota, Colombia;;Apr 2022;43420;15920;N/A;cellular;median;15920;29;456.104;125.938;12444;9306;12.44;9.31
All Providers Combined;Bolivar, Colombia;;Apr 2022;3314;1049;N/A;cellular;median;1049;38;88.08;152.163;12619;9213;12.62;9.21
All Providers Combined;Boyaca, Colombia;;Apr 2022;3055;977;N/A;cellular;median;977;38;646.183;151.351;8710;6900;8.71;6.90
All Providers Combined;Caldas, Colombia;;Apr 2022;1974;696;N/A;cellular;median;696;48;743.341;144.953;10883;8053;10.88;8.05
All Providers Combined;Caquetá, Colombia;;Apr 2022;795;181;N/A;cellular;median;181;53;756.871;203.586;6747;6171;6.75;6.17
All Providers Combined;Casanare, Colombia;;Apr 2022;1273;319;N/A;cellular;median;319;35;567.937;142.086;10264;9204;10.26;9.20
