Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;feb-23;44646;14303;all;N/A;median;14303;17;91393;32845;91.39;32.85
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;feb-23;3311;1076;all;N/A;median;1076;15;75431;23472;75.43;23.47
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;feb-23;21368;6370;all;N/A;median;6370;11;93212;42081;93.21;42.08
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;feb-23;119777;36264;all;N/A;median;36264;18;90348;33148;90.35;33.15
All Providers Combined;Mitú, Mitú, Vaupes, Colombia;;feb-23;41;4;all;N/A;median;4;38;69251;23978;69.25;23.98
All Providers Combined;Puerto Carreño, Puerto Carreño, Vichada, Colombia;;feb-23;69;13;all;N/A;median;13;84;17914;11750;17.91;11.75
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;mar-23;10166;3097;all;N/A;median;3097;18;126490;33826;126.49;33.83
All Providers Combined;Leticia, Leticia, Amazonas, Colombia;;mar-23;662;116;all;N/A;median;116;192;6789;3965;6.79;3.97
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;mar-23;196559;62868;all;N/A;median;62868;10;100156;31075;100.16;31.08
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;mar-23;1014;373;all;N/A;median;373;7;17452;5188;17.45;5.19
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;mar-23;71359;21931;all;N/A;median;21931;9;92038;33209;92.04;33.21
All Providers Combined;Bogotá, Bogota, Colombia;;mar-23;790230;241647;all;N/A;median;241647;7;103398;43922;103.40;43.92
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;mar-23;25424;7166;all;N/A;median;7166;8;107025;37413;107.03;37.41
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;mar-23;12329;3688;all;N/A;median;3688;14;79094;29460;79.09;29.46
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;mar-23;22155;6553;all;N/A;median;6553;28;93036;20057;93.04;20.06
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;mar-23;2794;648;all;N/A;median;648;23;64403;32387;64.40;32.39
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;mar-23;2957;798;all;N/A;median;798;14;49230;26389;49.23;26.39
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;mar-23;18584;5349;all;N/A;median;5349;19;67360;29325;67.36;29.33
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;mar-23;12286;3880;all;N/A;median;3880;22;82725;28683;82.73;28.68
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;mar-23;794;110;all;N/A;median;110;33;10218;7882;10.22;7.88
All Providers Combined;Montería, Montería, Córdoba, Colombia;;mar-23;10956;3412;all;N/A;median;3412;15;72954;26567;72.95;26.57
All Providers Combined;Inírida, Inírida, Guainía, Colombia;;mar-23;264;24;all;N/A;median;24;77;52328;14884;52.33;14.88
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;mar-23;409;117;all;N/A;median;117;15;8542;9576;8.54;9.58
All Providers Combined;Neiva, Neiva, Huila, Colombia;;mar-23;16327;4615;all;N/A;median;4615;19;82351;31496;82.35;31.50
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;mar-23;3017;985;all;N/A;median;985;32;61122;28692;61.12;28.69
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;mar-23;14061;4355;all;N/A;median;4355;16;79378;31195;79.38;31.20
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;mar-23;27683;7495;all;N/A;median;7495;9;103949;35426;103.95;35.43
All Providers Combined;Pasto, Pasto, Narino, Colombia;;mar-23;12945;4290;all;N/A;median;4290;22;69978;29463;69.98;29.46
All Providers Combined;Cúcuta, Cucuta, North Santander, Colombia;;mar-23;25923;7837;all;N/A;median;7837;23;78051;29864;78.05;29.86
All Providers Combined;Mocoa, Mocoa, Putumayo, Colombia;;mar-23;318;66;all;N/A;median;66;22;34384;25414;34.38;25.41
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;mar-23;22584;6614;all;N/A;median;6614;20;84904;29147;84.90;29.15
All Providers Combined;San Andrés, San Andrés, San Andrés y Providencia, Colombia;;mar-23;1411;299;all;N/A;median;299;50;36854;28675;36.85;28.68
