Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps;Multi-Server Latency;Multi-Server Jitter,
Claro;Cesar, Colombia;;feb-18;2469.0;1291.0;all;;median;819.0;32.0;8393.0;2020.0;8.39;2.02;;
Claro;Choco, Colombia;;feb-18;63.0;40.0;all;;median;32.0;56.0;7691.0;3439.0;7.69;3.44;;
Claro;Cordoba, Colombia;;feb-18;2161.0;1206.0;all;;median;711.0;31.0;8627.0;2209.0;8.63;2.21;;
Claro;Cundinamarca, Colombia;;feb-18;49488.0;22232.0;all;;median;12795.0;20.0;7042.0;2019.0;7.04;2.02;;
Claro;Huila, Colombia;;feb-18;8647.0;4146.0;all;;median;2217.0;30.0;5294.0;1658.0;5.29;1.66;;
Claro;La Guajira, Colombia;;feb-18;217.0;106.0;all;;median;84.0;64.0;5071.0;1072.0;5.07;1.07;;
Claro;Magdalena, Colombia;;feb-18;4388.0;2262.0;all;;median;1478.0;41.0;9496.0;2028.0;9.5;2.03;;
Claro;Meta, Colombia;;feb-18;6561.0;3116.0;all;;median;1412.0;21.0;6585.0;2278.0;6.59;2.28;;
Claro;Narino, Colombia;;feb-18;6629.0;3215.0;all;;median;1896.0;67.0;5242.0;1230.0;5.24;1.23;;
Claro;Putumayo, Colombia;;feb-18;4.0;4.0;all;;median;3.0;92.0;4265.0;2638.0;4.27;2.64;;
Claro;Quindio, Colombia;;feb-18;3676.0;1886.0;all;;median;1101.0;49.0;6674.0;1972.0;6.67;1.97;;
Claro;Risaralda, Colombia;;feb-18;8049.0;3932.0;all;;median;2227.0;49.0;8369.0;2056.0;8.37;2.06;;
Claro;San Andrés and Providencia, Colombia;;feb-18;9.0;4.0;all;;median;2.0;196.0;1977.0;707.0;1.98;0.71;;
Claro;Santander Department, Colombia;;feb-18;16928.0;7846.0;all;;median;4765.0;41.0;7465.0;1968.0;7.47;1.97;;
Claro;Sucre, Colombia;;feb-18;890.0;424.0;all;;median;276.0;26.0;8010.0;2180.0;8.01;2.18;;
Claro;Tolima, Colombia;;feb-18;7912.0;4000.0;all;;median;2397.0;18.0;5370.0;1572.0;5.37;1.57;;
Claro;Valle del Cauca, Colombia;;feb-18;67032.0;31401.0;all;;median;16846.0;59.0;7313.0;1998.0;7.31;2.0;;
ETB;Antioquia, Colombia;;feb-18;680.0;344.0;all;;median;243.0;30.0;6646.0;3136.0;6.65;3.14;;
ETB;Atlantico, Colombia;;feb-18;462.0;91.0;all;;median;49.0;91.0;3656.0;5770.0;3.66;5.77;;
ETB;Bogota, Colombia;;feb-18;130040.0;72922.0;all;;median;41814.0;11.0;12162.0;7142.0;12.16;7.14;;
