Country;Date;Download_speed;Upload_speed;Latency
south-korea;2023-08-01;119.58;94.73;7.0
south-korea;2023-09-01;112.41;94.61;7.0
south-korea;2023-10-01;139.83;100.01;8.0
south-korea;2023-11-01;123.36;98.61;11.0
south-korea;2023-12-01;148.68;103.63;8.0
south-korea;2024-01-01;163.05;104.0;8.0
south-korea;2024-02-01;171.01;114.12;8.0
south-korea;2024-03-01;160.59;115.71;7.0
canada;2023-03-01;149.99;39.05;11.0
canada;2023-04-01;146.07;37.5;11.0
canada;2023-05-01;141.67;36.34;11.0
canada;2023-06-01;148.93;40.2;11.0
canada;2023-07-01;147.65;41.43;10.0
canada;2023-08-01;153.39;44.28;10.0
canada;2023-09-01;158.35;46.75;10.0
canada;2023-10-01;165.67;47.61;10.0
canada;2023-11-01;176.47;49.92;10.0
canada;2023-12-01;183.57;51.37;10.0
canada;2024-01-01;192.21;51.52;10.0
canada;2024-02-01;194.14;51.94;10.0
canada;2024-03-01;198.22;52.3;11.0
japan;2023-03-01;146.9;94.49;13.0
japan;2023-04-01;150.62;93.96;13.0
japan;2023-05-01;154.47;93.71;12.0
japan;2023-06-01;147.7;93.16;13.0
japan;2023-07-01;145.49;93.45;13.0
japan;2023-08-01;143.18;93.75;13.0
japan;2023-09-01;157.05;100.53;12.0
japan;2023-10-01;170.29;97.51;12.0
japan;2023-11-01;185.71;94.56;13.0
japan;2023-12-01;188.28;97.01;13.0
japan;2024-01-01;195.49;111.25;12.0
japan;2024-02-01;198.56;110.81;12.0
japan;2024-03-01;196.59;104.38;12.0
united-states;2023-03-01;197.84;23.02;13.0
united-states;2023-04-01;202.4;23.1;13.0
united-states;2023-05-01;203.31;23.31;13.0
united-states;2023-06-01;205.2;23.38;13.0
united-states;2023-07-01;207.32;23.35;13.0
united-states;2023-08-01;210.4;23.58;13.0
united-states;2023-09-01;213.75;23.71;13.0
united-states;2023-10-01;215.76;23.88;13.0
united-states;2023-11-01;219.76;24.34;13.0
united-states;2023-12-01;227.27;26.59;13.0
united-states;2024-01-01;237.23;28.63;13.0
united-states;2024-02-01;242.29;30.68;13.0
united-states;2024-03-01;254.01;31.37;13.0
spain;2023-03-01;178.4;130.84;12.0
spain;2023-04-01;175.96;129.17;12.0
spain;2023-05-01;185.65;138.19;12.0
spain;2023-06-01;180.0;134.38;12.0
spain;2023-07-01;178.94;135.1;12.0
spain;2023-08-01;176.74;128.76;13.0
spain;2023-09-01;188.49;139.75;12.0
spain;2023-10-01;189.61;142.83;12.0
spain;2023-11-01;201.13;150.36;12.0
spain;2023-12-01;209.27;156.58;11.0
spain;2024-01-01;218.41;162.01;11.0
spain;2024-02-01;219.31;160.64;11.0
spain;2024-03-01;217.3;158.31;11.0
chile;2023-03-01;218.34;126.69;6.0
chile;2023-04-01;219.43;131.84;6.0
chile;2023-05-01;223.21;146.16;6.0
chile;2023-06-01;229.48;150.62;6.0
chile;2023-07-01;239.91;160.0;6.0
chile;2023-08-01;237.23;154.59;6.0
chile;2023-09-01;241.82;160.67;6.0
chile;2023-10-01;244.52;161.47;6.0
chile;2023-11-01;245.15;163.33;6.0
chile;2023-12-01;252.32;169.12;6.0
chile;2024-01-01;263.82;175.83;6.0
chile;2024-02-01;272.29;178.89;6.0
chile;2024-03-01;265.12;168.13;6.0
