Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Metric Type;User Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Puente Aranda;;oct-23;20132;7667;median;7667;6;941.485;358.875;149181;94444;149.18;94.44
All Providers Combined;Teusaquillo;;oct-23;32386;12919;median;12919;4;77.108;30.833;124166;94513;124.17;94.51
All Providers Combined;Barrios Unidos;;oct-23;20165;7901;median;7901;5;89.167;3.425;171242;94418;171.24;94.42
All Providers Combined;Suba;;oct-23;122631;41546;median;41546;6;1.016.097;402.671;178740;97682;178.74;97.68
All Providers Combined;Engativá;;oct-23;66886;22043;median;22043;6;98.167;3.75;182342;100073;182.34;100.07
All Providers Combined;Fontibón;;oct-23;36186;11942;median;11942;6;121.269;43.375;135152;43896;135.15;43.90
All Providers Combined;Kennedy;;oct-23;77611;25046;median;25046;5;957.756.667;376.101.111;172174;117166;172.17;117.17
All Providers Combined;Bosa;;oct-23;28366;10080;median;10080;9;15.1;58.625;140229;32813;140.23;32.81
All Providers Combined;Tunjuelito;;oct-23;28927;10878;median;10878;9;168.667;6.125;102917;32807;102.92;32.81
All Providers Combined;Usme;;oct-23;4350;1330;median;1330;10;178.333;78.203;92306;32323;92.31;32.32
All Providers Combined;San Cristóbal;;oct-23;16295;5680;median;5680;6;127.463;49.198;133010;43254;133.01;43.25
All Providers Combined;Santa Fe;;oct-23;8175;3311;median;3311;6;104.092;33.375;113150;48827;113.15;48.83
All Providers Combined;Usaquen;;oct-23;72344;24663;median;24663;6;1.081.448.889;416.247.222;169025;93525;169.03;93.53
All Providers Combined;Chapinero;;oct-23;33655;13279;median;13279;6;107.333;3.95;126409;64503;126.41;64.50
All Providers Combined;Sumapaz;;nov-23;378;111;median;111;8;13.45;5.225;27614;18403;27.61;18.40
All Providers Combined;Ciudad Bolívar;;nov-23;20134;6097;median;6097;6;13.05;50.654;70457;44259;70.46;44.26
All Providers Combined;Rafael Uribe Uribe;;nov-23;13342;4350;median;4350;8;1.639.665;55.292;144422;86924;144.42;86.92
All Providers Combined;Puente Aranda;;nov-23;17339;6232;median;6232;6;94.243;3.55;162653;94013;162.65;94.01
All Providers Combined;Teusaquillo;;nov-23;29944;12136;median;12136;4;8.4;33.833;119665;93880;119.67;93.88
All Providers Combined;Barrios Unidos;;nov-23;23568;9596;median;9596;5;90.667;3.725;160115;94630;160.12;94.63
All Providers Combined;Suba;;nov-23;116445;39817;median;39817;6;101.111;4.125;176737;94722;176.74;94.72
All Providers Combined;Engativá;;nov-23;65559;22234;median;22234;5;94.833;3.8;183698;101639;183.70;101.64
All Providers Combined;Fontibón;;nov-23;33913;10656;median;10656;7;127.845;46.875;141301;40939;141.30;40.94
All Providers Combined;Kennedy;;nov-23;98296;28891;median;28891;5;10.2;409.622.222;167390;100857;167.39;100.86
All Providers Combined;Bosa;;nov-23;31696;10987;median;10987;9;150.065;5.75;148948;32870;148.95;32.87
All Providers Combined;Tunjuelito;;nov-23;27035;10206;median;10206;10;17.25;64.125;105459;32414;105.46;32.41
All Providers Combined;Usme;;nov-23;3949;1074;median;1074;10;180.888;844.615;107498;32766;107.50;32.77
All Providers Combined;San Cristóbal;;nov-23;20307;5815;median;5815;8;13.9;5.425;111414;43772;111.41;43.77
All Providers Combined;Santa Fe;;nov-23;8095;3022;median;3022;7;115.833;36.442;109284;42830;109.28;42.83
All Providers Combined;Usaquen;;nov-23;68129;22920;median;22920;6;1.084.965;425.103.333;166323;89611;166.32;89.61
All Providers Combined;Chapinero;;nov-23;32305;12848;median;12848;6;115.333;4.25;124512;58091;124.51;58.09
All Providers Combined;Sumapaz;;Dec 2023;414;92;median;92;7;1.163.335;42.875;34128;23233;34.13;23.23
All Providers Combined;Ciudad Bolívar;;Dec 2023;18194;5514;median;5514;6;132.458;49.207;67035;45351;67.04;45.35
All Providers Combined;Rafael Uribe Uribe;;Dec 2023;13869;4444;median;4444;8;155.355;4.525;121319;87932;121.32;87.93
All Providers Combined;Puente Aranda;;Dec 2023;16335;5992;median;5992;5;879.275;3.3;178626;94642;178.63;94.64
All Providers Combined;Teusaquillo;;Dec 2023;23382;9307;median;9307;4;73.167;3;133561;94722;133.56;94.72
All Providers Combined;Barrios Unidos;;Dec 2023;14973;6285;median;6285;5;94.111;4;173028;94321;173.03;94.32
All Providers Combined;Suba;;Dec 2023;103344;35560;median;35560;5;936.985.625;38.748.875;191673;105641;191.67;105.64
All Providers Combined;Engativá;;Dec 2023;51081;18140;median;18140;5;87.206.625;358.745;194827;115787;194.83;115.79
All Providers Combined;Fontibón;;Dec 2023;24479;8155;median;8155;7;1.255.345;42.601;164928;41410;164.93;41.41
All Providers Combined;Kennedy;;Dec 2023;84447;24995;median;24995;5;91.333;37.625;178556;109793;178.56;109.79
All Providers Combined;Bosa;;Dec 2023;21639;7532;median;7532;8;13.85;50.854;165844;32952;165.84;32.95
All Providers Combined;Tunjuelito;;Dec 2023;24123;9415;median;9415;9;16.25;59.125;133752;32965;133.75;32.97
All Providers Combined;Usme;;Dec 2023;3355;941;median;941;9;174.032;625.935;122784;32753;122.78;32.75
All Providers Combined;San Cristóbal;;Dec 2023;19361;5334;median;5334;8;133.226;4.975;131089;58000;131.09;58.00
All Providers Combined;Santa Fe;;Dec 2023;7555;2669;median;2669;7;117.667;35.055;131133;43716;131.13;43.72
All Providers Combined;Usaquen;;Dec 2023;59943;20798;median;20798;6;9.763.925;393.005;178514;93681;178.51;93.68
All Providers Combined;Chapinero;;Dec 2023;27904;11182;median;11182;6;109.583;39.875;122927;64791;122.93;64.79
