server_id,server_name,server_country,server_country_code,latitude,longitude,server_url,sponsor_name,sponsor_url,status,functional,host_functional,created_date,host,host_version,host_ip,is_public,https_enabled,https_functional,ipv6_functional
44096,Medellín,Colombia,CO,6.2459,-75.5746,http://speedtestmed01.claro.net.co:8080/speedtest/upload.php,Claro Colombia,https://www.claro.com.co,1,TRUE,TRUE,8/11/21 18:08,speedtestmed01.claro.net.co:8080,2.11.0,181.48.254.74,1,1,1,0
44106,Bucaramanga,Colombia,CO,7.1193,-73.1227,http://bucaramanga.fermactelecomunicaciones.com:8080/speedtest/upload.php,Fermac Telecomunicaciones,https://www.fermactelecomunicaciones.com/,1,TRUE,TRUE,8/11/21 23:06,bucaramanga.fermactelecomunicaciones.com:8080,2.11.0,181.224.34.8,1,1,1,1
44311,Bogota,Colombia,CO,4.5981,-74.0758,http://speedtest-col.transtelco.net:8080/speedtest/upload.php,Transtelco,https://www.transtelco.net,1,TRUE,TRUE,8/19/21 17:26,speedtest-col.transtelco.net:8080,2.11.0,187.251.16.62,1,1,1,0
44398,Cali,Colombia,CO,3.4206,-76.5222,http://medicion.ert.com.co:8080/speedtest/upload.php,ERT,https://www.ert.com.co,1,TRUE,TRUE,8/24/21 16:06,medicion.ert.com.co:8080,2.11.0,190.6.160.74,1,1,1,1
44602,Popayan,Colombia,CO,2.4448,-76.6147,https://test.dobleclick.net.co:8080/speedtest/upload.php,DobleClick,https://dobleclick.net.co/,1,TRUE,TRUE,9/1/21 15:54,test.dobleclick.net.co:8080,2.11.0,138.0.88.142,1,1,1,1
45351,Toribío,Colombia,CO,2.9563,-76.2704,http://naamiku.sergioqos.com:8080/speedtest/upload.php,naamiku.net,https://www.globalnpo.org/CO/Cauca/521399341322830/Naamiku.net,1,TRUE,TRUE,10/5/21 20:16,naamiku.sergioqos.com:8080,2.11.1,190.60.38.250,1,1,1,1
46722,Sabanalarga,Colombia,CO,10.6308,-74.9252,http://megatel1.sergioqos.com:8080/speedtest/upload.php,Megatel de Colombia SAS,https://megatelcolombia.com.co/,1,TRUE,TRUE,12/7/21 15:28,megatel1.sergioqos.com:8080,2.11.0,179.1.115.17,1,1,0,0
47928,Barranquilla,Colombia,CO,10.9827,-74.8302,http://speedtestatl.directv.com.co:8080/speedtest/upload.php,DIRECTV INTERNET,https://www.directv.com.co/,1,TRUE,TRUE,1/28/22 21:27,speedtestatl.directv.com.co:8080,2.11.0,191.102.216.105,1,1,1,1
48513,Barranquilla,Colombia,CO,10.9827,-74.8302,http://speedtest-baq10g.ufinet.com.co:8080/speedtest/upload.php,Ufinet,http://www.ufinet.com/,1,TRUE,TRUE,2/16/22 14:12,speedtest-baq10g.ufinet.com.co:8080,2.11.0,190.61.62.10,1,1,1,0
48715,Bogotá,Colombia,CO,4.5981,-74.0758,http://speedtest-bog10g.ufinet.com.co:8080/speedtest/upload.php,Ufinet Colombia S.A.,https://www.ufinet.com/,1,TRUE,TRUE,2/25/22 15:21,speedtest-bog10g.ufinet.com.co:8080,2.11.0,190.61.62.14,1,1,1,0
49112,Medellín,Colombia,CO,6.2459,-75.5746,http://speedtest.velonet.co:8080/speedtest/upload.php,VELONET SAS,https://velonet.co/,1,TRUE,TRUE,3/15/22 19:36,speedtest.velonet.co:8080,2.11.0,45.175.20.102,1,1,1,1
49728,Pasto,Colombia,CO,1.2059,-77.2858,http://speedtest.ip.net.co:8080/speedtest/upload.php,IP Technologies SAS,https://ip.net.co/,1,TRUE,TRUE,4/9/22 15:52,speedtest.ip.net.co:8080,2.11.0,170.247.0.20,1,1,1,0
50420,Pitalito,Colombia,CO,1.8563,-76.0462,https://velocidad.sinergy.com.co:8080/speedtest/upload.php,Sinergy,https://sinergy.com.co/,1,TRUE,TRUE,5/10/22 14:21,velocidad.sinergy.com.co:8080,2.11.0,138.117.84.89,1,1,1,0
50641,Bucaramanga,Colombia,CO,7.1193,-73.1227,http://speedtest.vivercom.com.co:8080/speedtest/upload.php,ViverCom (CallToPbx),http://vivercom.com.co/,1,TRUE,TRUE,5/19/22 1:22,speedtest.vivercom.com.co:8080,2.11.0,190.242.45.163,1,1,1,0
50948,Montería,Colombia,CO,8.751,-75.8785,http://speedtest.sinured.co:8080/speedtest/upload.php,Sinured Soluciones,https://www.sinured.co/,1,TRUE,TRUE,5/31/22 23:49,speedtest.sinured.co:8080,2.11.0,45.167.248.4,1,1,1,1
51440,Contratación,Colombia,CO,6.2909,-73.4742,http://speedtest.ipcomsistemas.co:8080/speedtest/upload.php,IPcom Sistemas SAS,https://ipcomsistemas.co/,1,TRUE,TRUE,6/22/22 0:50,speedtest.ipcomsistemas.co:8080,2.11.0,38.190.98.4,1,1,1,0
51911,Cucuta,Colombia,CO,7.8891,-72.4967,http://cucuta.tvn.red:8080/speedtest/upload.php,TVN NORTE,https://tvn.com.co/,1,TRUE,TRUE,7/12/22 22:09,cucuta.tvn.red:8080,2.11.0,179.1.112.113,1,1,1,1
51938,Aguachica,Colombia,CO,8.3097,-73.6145,http://aguachica.tvn.red:8080/speedtest/upload.php,TVN NORTE,https://tvn.com.co/,1,TRUE,TRUE,7/13/22 19:40,aguachica.tvn.red:8080,2.11.0,190.90.251.196,1,1,1,1
51982,Ocaña,Colombia,CO,8.2521,-73.3532,http://ocana.tvn.red:8080/speedtest/upload.php,TVN NORTE,https://tvn.com.co/,1,TRUE,TRUE,7/15/22 21:05,ocana.tvn.red:8080,2.11.0,190.90.252.192,1,1,1,1
52014,Zarzal,Colombia,CO,4.3949,-76.0729,http://speedtest.speedtestgruposervinet.com:8080/speedtest/upload.php,Gruposervinet,https://gruposervinet.com.co/,1,TRUE,TRUE,7/17/22 19:06,speedtest.speedtestgruposervinet.com:8080,2.9.2,181.78.10.12,1,1,1,1
52399,Medellín,Colombia,CO,6.2459,-75.5746,http://speedtest-med.wom.co:8080/speedtest/upload.php,WOM,https://www.wom.co/,1,TRUE,TRUE,8/4/22 15:20,speedtest-med.wom.co:8080,2.11.0,179.49.229.34,1,1,0,1
52729,Medellín,Colombia,CO,6.2459,-75.5746,http://speed.somosinternet.co:8080/speedtest/upload.php,Somos Internet,https://www.somosinternet.co/,1,TRUE,TRUE,8/18/22 1:08,speed.somosinternet.co:8080,2.11.0,206.84.80.245,1,1,1,1
52911,Bogotá,Colombia,CO,4.5981,-74.0758,http://speedtest-bog.wom.co:8080/speedtest/upload.php,WOM,https://www.wom.co/,1,TRUE,TRUE,8/26/22 14:50,speedtest-bog.wom.co:8080,2.11.0,179.49.228.130,1,1,0,1
52919,Mosquera,Colombia,CO,4.6802,-74.2297,https://stmos.colombiamas.net:8080/speedtest/upload.php,Colombia Más,https://colombiamastv.co/,1,TRUE,TRUE,8/26/22 20:15,stmos.colombiamas.net:8080,2.11.0,190.102.127.252,1,1,1,1
53223,Tunja,Colombia,CO,5.5446,-73.3576,https://sttun.colombiamas.net:8080/speedtest/upload.php,Colombia Más,https://colombiamastv.co/,1,TRUE,TRUE,9/9/22 16:17,sttun.colombiamas.net:8080,2.11.0,45.65.234.205,1,1,1,1
53426,Toro,Colombia,CO,4.6092,-76.0785,http://toro.fibranetplus.com:8080/speedtest/upload.php,FIBRANETPLUS SAS,https://www.fibranetplus.com,1,TRUE,TRUE,9/18/22 14:37,toro.fibranetplus.com:8080,2.11.0,181.118.148.50,1,1,1,1
53427,La Victoria,Colombia,CO,4.5238,-76.036,http://speedtestlv.fibranetplus.com:8080/speedtest/upload.php,FIBRANETPLUS SAS,https://www.fibranetplus.com/,1,TRUE,TRUE,9/18/22 15:27,speedtestlv.fibranetplus.com:8080,2.11.0,190.6.179.138,1,1,1,1
53461,Bogotá,Colombia,CO,4.5981,-74.0758,http://medidor.gigafibra.co:8080/speedtest/upload.php,GIGA+FIBRA,https://gigafibra.com.co/,1,TRUE,TRUE,9/19/22 20:50,medidor.gigafibra.co:8080,2.11.0,38.52.144.228,1,1,1,1
53643,Abrego,Colombia,CO,8.0822,-73.135,http://abrego.provinet.co:8080/speedtest/upload.php,Provinet Telecomunicaciones,http://www.provinet.co/,1,TRUE,TRUE,9/27/22 22:49,abrego.provinet.co:8080,2.11.0,45.173.6.211,1,1,1,0
54103,Fusagasugá,Colombia,CO,4.3452,-74.3618,https://stfus.colombiamas.net:8080/speedtest/upload.php,Colombia Más,https://colombiamastv.co,1,TRUE,TRUE,10/19/22 19:10,stfus.colombiamas.net:8080,2.11.0,190.102.120.204,1,1,1,1
54141,Pasto,Colombia,CO,1.2059,-77.2858,http://test.stbdecolombia.com:8080/speedtest/upload.php,STB DE COLOMBIA,https://stbdecolombia.com/,1,TRUE,TRUE,10/21/22 22:15,test.stbdecolombia.com:8080,2.11.0,204.199.120.28,1,1,1,1
54322,Sibundoy,Colombia,CO,1.2046,-76.9195,http://hseingenieria.co:8080/speedtest/upload.php,HSEIngeniería SAS,https://hseingenieria.com.co/,1,TRUE,TRUE,11/1/22 15:52,hseingenieria.co:8080,2.11.0,201.182.249.196,1,1,1,1
55026,Bogotá,Colombia,CO,4.5981,-74.0758,http://bogota.speedtest.ciriontechnologies.com:8080/speedtest/upload.php,Cirion Technologies,https://www.ciriontechnologies.com/,1,TRUE,TRUE,12/7/22 18:33,bogota.speedtest.ciriontechnologies.com:8080,2.11.0,201.234.78.114,1,1,1,0
55919,San Juan,Colombia,CO,10.7733,-73.0015,http://speedtest.digitvnet.com:8080/speedtest/upload.php,DIGITVNET,https://digitvnet.com/,1,TRUE,TRUE,1/27/23 17:42,speedtest.digitvnet.com:8080,2.11.0,190.61.44.38,1,1,1,1
56146,Montería,Colombia,CO,8.751,-75.8785,https://speedtest.intalnettelecomunicaciones.com:8080/speedtest/upload.php,INTALNET,https://intalnettelecomunicaciones.com/,1,TRUE,TRUE,2/8/23 20:59,speedtest.intalnettelecomunicaciones.com:8080,2.11.0,207.230.11.162,1,1,0,1
56387,Cúcuta,Colombia,CO,7.8891,-72.4967,http://eagle-server.ufps.edu.co:8080/speedtest/upload.php,Universidad Francisco de Paula Santander,http://www.ufps.edu.co/,1,TRUE,TRUE,2/23/23 2:46,eagle-server.ufps.edu.co:8080,2.11.0,200.93.148.249,1,1,1,1
57002,Valledupar,Colombia,CO,10.4742,-73.2436,http://wifinettelecomunicaciones.store:8080/speedtest/upload.php,Wifinet Telecomunicaciones,http://wifinettelecomunicaciones.com/,1,TRUE,TRUE,3/25/23 14:49,wifinettelecomunicaciones.store:8080,2.11.0,138.186.20.244,1,1,1,1
57070,Ibagué,Colombia,CO,4.4447,-75.2424,https://speedtesttol.celsia.com:8080/speedtest/upload.php,Celsia S.A. E.S.P.,https://www.celsia.com/,1,TRUE,TRUE,3/29/23 15:32,speedtesttol.celsia.com:8080,2.9.2,130.250.228.241,1,1,1,1
57508,San Andrés,Colombia,CO,12.545,-81.7076,http://speedtest2.tvisla.net.co:8080/speedtest/upload.php,TV ISLA,http://www.tvisla.net.co/,1,TRUE,TRUE,4/21/23 14:10,speedtest2.tvisla.net.co:8080,2.11.0,45.173.15.8,1,1,1,1
57541,Zipaquirá,Colombia,CO,5.0215,-73.991,http://speedtest.netmee.co:8080/speedtest/upload.php,Netmee,https://www.netmee.co/,1,TRUE,TRUE,4/24/23 21:42,speedtest.netmee.co:8080,2.11.0,190.26.27.129,1,1,1,1
57616,Soacha,Colombia,CO,4.5827,-74.2117,http://speedtest.inttelgo.com:8080/speedtest/upload.php,Inttel Go Networks,https://www.inttelgo.com/,1,TRUE,TRUE,4/28/23 20:55,speedtest.inttelgo.com:8080,2.11.0,206.0.24.3,1,1,1,1
57740,Bogotá,Colombia,CO,4.5981,-74.0758,http://speedtestbgta.inttelgo.com:8080/speedtest/upload.php,Inttel Go Networks,https://www.inttelgo.com/,1,TRUE,TRUE,5/6/23 3:35,speedtestbgta.inttelgo.com:8080,2.11.0,206.0.24.4,1,1,1,1
57792,San Andres,Colombia,CO,12.545,-81.7076,http://speedtest.fiwii.tv:8080/speedtest/upload.php,FIWII.TV,http://web.fiwii.tv/,1,TRUE,TRUE,5/8/23 23:27,speedtest.fiwii.tv:8080,2.11.0,45.173.44.8,1,1,1,1
57881,Santander de Quilichao,Colombia,CO,3.009,-76.4863,https://speed.somostvinternet.com:8080/speedtest/upload.php,SOMOS TV+INTERNET,https://somostvinternet.com/,1,TRUE,TRUE,5/11/23 17:04,speed.somostvinternet.com:8080,2.11.0,38.199.68.254,1,1,1,1
58382,Cartago,Colombia,CO,4.7472,-75.9116,http://insitelspeed.yapagos.com:8080/speedtest/upload.php,bitwan,https://www.bitwan.co/,1,TRUE,TRUE,6/3/23 18:14,insitelspeed.yapagos.com:8080,2.9.2,45.230.33.34,1,1,1,1
58413,Santa Fé de Antioquia,Colombia,CO,6.5572,-75.8271,https://speedtest-santafe.tvline.com.co:8080/speedtest/upload.php,TV LINE SAS,https://tvline.com.co/,1,TRUE,TRUE,6/5/23 22:26,speedtest-santafe.tvline.com.co:8080,2.11.0,190.131.238.61,1,1,1,1
58492,Mocoa,Colombia,CO,1.1478,-76.6481,http://speed.conectivaintsas.com:8080/speedtest/upload.php,CONECTIVA INT SAS,https://conectivaintsas.com/,1,TRUE,TRUE,6/9/23 17:42,speed.conectivaintsas.com:8080,2.11.0,177.93.35.90,1,1,1,1
59115,Medellín,Colombia,CO,6.2476,-75.5658,http://speed.icrnetworkca.com:8080/speedtest/upload.php,ICR NET,https://www.icrnetworkca.com/,1,TRUE,TRUE,7/16/23 23:02,speed.icrnetworkca.com:8080,2.11.0,179.1.68.197,1,1,1,0
59451,Cali,Colombia,CO,3.4206,-76.5222,http://speedinter.intermaxcomunicaciones.com:8080/speedtest/upload.php,INTERMAX,https://intermaxcomunicaciones.com/,1,TRUE,TRUE,8/4/23 16:09,speedinter.intermaxcomunicaciones.com:8080,2.11.0,181.129.163.29,1,1,1,1
59679,Neira,Colombia,CO,5.1664,-75.5205,http://speedtest.interlans.net:8080/speedtest/upload.php,Interlans Comunicaciones,https://interlans.net/,1,TRUE,TRUE,8/15/23 22:37,speedtest.interlans.net:8080,2.11.0,45.229.192.34,1,1,1,1
59738,Dagua,Colombia,CO,3.6585,-76.6908,http://st.betelsas.com:8080/speedtest/upload.php,Betel,https://betelsas.com/,1,TRUE,TRUE,8/18/23 17:21,st.betelsas.com:8080,2.11.0,45.172.184.237,1,1,1,1
59838,Mocoa,Colombia,CO,1.1504,-76.6553,http://speedtest.netcomunicaciones.com:8080/upload.php,Net Comunicaciones,http://www.netcomunicaciones.com/,1,TRUE,TRUE,8/24/23 18:08,speedtest.netcomunicaciones.com:8080,2.11.0,45.169.99.163,1,1,1,1
60035,Río de Oro,Colombia,CO,8.2943,-73.3875,http://speedtest.picontel.com:8080/speedtest/upload.php,PICONTEL,http://www.picontel.com/,1,TRUE,TRUE,9/4/23 15:42,speedtest.picontel.com:8080,2.11.0,170.239.207.73,1,1,1,1
60287,La Dorada,Colombia,CO,5.4727,-74.668,http://speedtest.wirelesscolombia.com:8080/speedtest/upload.php,Wireless Colombia,http://www.wirelesscolombia.com,1,TRUE,TRUE,9/20/23 21:43,speedtest.wirelesscolombia.com:8080,2.11.0,45.191.234.66,1,1,1,1
60456,Saravena,Colombia,CO,6.9561,-71.8726,http://speedtest3.setelin.co:8080/speedtest/upload.php,SETELIN SAS,http://setelin.co,1,TRUE,TRUE,10/2/23 17:03,speedtest3.setelin.co:8080,2.11.0,179.1.68.202,1,1,1,0
61017,Valle del Guamuez,Colombia,CO,0.4016,-76.7798,https://speedtest.comfibrax.com:8080/speedtest/upload.php,Comfibra ISP,https://comfibrax.com/,1,TRUE,TRUE,11/1/23 22:34,speedtest.comfibrax.com:8080,2.11.0,177.93.35.84,1,1,1,1
61142,Bugalagrande,Colombia,CO,4.2109,-76.1557,http://blg.fibranetplus.com:8080/speedtest/upload.php,FIBRANETPLUS S.A.S.,https://www.fibranetplus.com,1,TRUE,TRUE,11/8/23 15:00,blg.fibranetplus.com:8080,2.11.0,38.51.234.66,1,1,1,1
61264,Dagua,Colombia,CO,3.6585,-76.6908,https://speed.ultranetconexionesinalambricas.com.co:8080/speedtest/upload.php,ULTRANET CONEXIONES INALAMBRICAS,https://www.ultranetconexionesinalambricas.com.co/,1,TRUE,TRUE,11/15/23 1:40,speed.ultranetconexionesinalambricas.com.co:8080,2.11.0,181.204.172.67,1,1,1,1
61632,Talaigua Nuevo,Colombia,CO,9.3035,-74.568,http://speedtest.jigartel.com:8080/speedtest/upload.php,JIGARTEL,http://jigartel.com/,1,TRUE,TRUE,12/6/23 14:15,speedtest.jigartel.com:8080,2.11.0,181.78.75.158,1,1,1,1
61719,Sopó,Colombia,CO,4.9086,-73.9414,http://speedtest.leowisp.com:8080/speedtest/upload.php,LEOWISP SAS,https://leowisp.com/,1,TRUE,TRUE,12/11/23 23:52,speedtest.leowisp.com:8080,2.11.0,,1,1,1,0
61751,Villanueva,Colombia,CO,10.6037,-72.9819,http://villanueva.tvn.red:8080/speedtest/upload.php,TVN NORTE,https://tvn.com.co/,1,TRUE,TRUE,12/13/23 22:27,villanueva.tvn.red:8080,2.11.0,204.199.113.6,1,1,1,1
61785,Ataco,Colombia,CO,3.5911,-75.3817,http://test.grupoia.org:8080/speedtest/upload.php,Grupo IA,https://www.grupoia.org,1,TRUE,TRUE,12/16/23 1:43,test.grupoia.org:8080,2.11.0,,1,1,0,0
61799,Calamar,Colombia,CO,10.2483,-74.9152,http://speedtest.mundodigitaltvsas.com:8080/speedtest/upload.php,Mundo Digital TV S.A.S,https://www.mundodigitaltvsas.com/,1,TRUE,TRUE,12/16/23 22:02,speedtest.mundodigitaltvsas.com:8080,2.11.0,181.78.83.141,1,1,1,0
62002,Barranquilla,Colombia,CO,10.9827,-74.8302,http://st.ticcol.com:8080/speedtest/upload.php,Redes Tics Colombia,https://redesticscolombia.com,1,TRUE,TRUE,1/3/24 18:08,st.ticcol.com:8080,2.11.0,181.204.104.245,1,1,1,0
62075,Ocaña,Colombia,CO,8.2521,-73.3532,http://speedtest.technetsas.com:8080/speedtest/upload.php,Technet Comunicaciones sas,https://www.technetsas.com/,1,TRUE,TRUE,1/10/24 14:14,speedtest.technetsas.com:8080,2.11.0,200.41.79.225,1,1,1,0
62086,San Pablo,Colombia,CO,7.4779,-73.9241,http://speedtest.intcomsas.com:8080/speedtest/upload.php,Interconexiones SAS,https://intcomsas.com/,1,TRUE,TRUE,1/11/24 8:49,speedtest.intcomsas.com:8080,2.11.0,200.69.87.253,1,1,1,0
62141,Barbosa,Colombia,CO,5.9557,-73.6183,http://comsset.sergioqos.com:8080/speedtest/upload.php,Comsset Comunicaciones,https://comsset.com/,1,TRUE,TRUE,1/14/24 13:35,comsset.sergioqos.com:8080,2.11.0,38.51.187.96,1,1,1,1
62211,Tunja,Colombia,CO,5.5446,-73.3576,http://tunja.tvn.red:8080/speedtest/upload.php,TVN NORTE,https://tvn.com.co/,1,TRUE,TRUE,1/18/24 22:37,tunja.tvn.red:8080,2.11.0,179.1.207.33,1,1,1,1
62247,Bogotá,Colombia,CO,4.5981,-74.0758,http://bogota-speedtest-1.hostingswift.com:8080/speedtest/upload.php,HostingSwift.Com,https://hostingswift.com/,1,TRUE,TRUE,1/21/24 2:32,bogota-speedtest-1.hostingswift.com:8080,2.9.2,66.90.89.12,1,0,0,0
62482,Soledad,Colombia,CO,10.9171,-74.7992,http://speedtest.vycnet.co:8080/speedtest/upload.php,V&C Network,https://vycnet.co,1,TRUE,TRUE,2/1/24 23:39,speedtest.vycnet.co:8080,2.11.0,181.143.192.99,1,1,1,0
62674,La Union,Colombia,CO,4.5298,-76.1088,http://launion.fibranetplus.com:8080/speedtest/upload.php,FIBRANETPLUS SAS,https://www.fibranetplus.com,1,TRUE,TRUE,2/12/24 17:02,launion.fibranetplus.com:8080,2.11.0,201.182.249.19,1,1,1,1
62676,Leticia,Colombia,CO,-4.2032,-69.9359,http://speedtest.globalfiber.com.co:8080/speedtest/upload.php,GLOBAL FIBER COLOMBIA,https://globalfiber.com.co/,1,TRUE,TRUE,2/12/24 18:11,speedtest.globalfiber.com.co:8080,2.11.0,45.5.59.46,1,1,1,0
62700,Paipa,Colombia,CO,5.7798,-73.1147,http://amtecsas.ddns.net:8080/speedtest/upload.php,Americana de Tecnología y Comunicaciones,https://amtec.com.co/,1,TRUE,TRUE,2/13/24 21:15,amtecsas.ddns.net:8080,2.11.0,190.90.132.253,1,1,1,0
