Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Movistar;Barranquilla, Barranquilla, Atlantico, Colombia;;Jan 2022;23613;7856;all;N/A;median;7856;36;501.622;128.833;95544;94114;95.54;94.11
Movistar;Medellín, Medellin, Antioquia, Colombia;;Jan 2022;21285;6494;all;N/A;median;6494;13;391.041;90.875;179954;173675;179.95;173.68
Claro;Bogotá, Bogota, Colombia;;Jan 2022;412299;128777;all;N/A;median;128777;11;200.856;88.298;68482;18168;68.48;18.17
Claro;Cali, Cali, Valle del Cauca, Colombia;;Jan 2022;61844;18159;all;N/A;median;18159;19;35.75;112.375;62795;18225;62.80;18.23
Claro;Barranquilla, Barranquilla, Atlantico, Colombia;;Jan 2022;24482;6695;all;N/A;median;6695;14;55.007;108.833;66798;20608;66.80;20.61
Claro;Medellín, Medellin, Antioquia, Colombia;;Jan 2022;57024;18367;all;N/A;median;18367;11;338.333;9.975;64745;20897;64.75;20.90
Tigo;Bogotá, Bogota, Colombia;;Jan 2022;59102;19549;all;N/A;median;19549;10;187.703;80.645;58802;10576;58.80;10.58
Tigo;Cali, Cali, Valle del Cauca, Colombia;;Jan 2022;23724;6798;all;N/A;median;6798;17;339.707;15.85;42879;10446;42.88;10.45
Tigo;Barranquilla, Barranquilla, Atlantico, Colombia;;Jan 2022;16124;4885;all;N/A;median;4885;11;537.638;121.875;56676;10476;56.68;10.48
Tigo;Medellín, Medellin, Antioquia, Colombia;;Jan 2022;121326;40364;all;N/A;median;40364;10;341.667;119.851;59634;11441;59.63;11.44
DIRECTV;Bogotá, Bogota, Colombia;;Jan 2022;7733;2576;all;N/A;median;2576;28;578.667;30.25;9679;3466;9.68;3.47
DIRECTV;Cali, Cali, Valle del Cauca, Colombia;;Jan 2022;5252;1746;all;N/A;median;1746;30;784.002;45.45;9433;3493;9.43;3.49
DIRECTV;Barranquilla, Barranquilla, Atlantico, Colombia;;Jan 2022;8077;2253;all;N/A;median;2253;46;1.130.416;546.007;6521;2753;6.52;2.75
DIRECTV;Medellín, Medellin, Antioquia, Colombia;;Jan 2022;9430;2884;all;N/A;median;2884;30;78.725;45;9873;3416;9.87;3.42
ETB;Bogotá, Bogota, Colombia;;Jan 2022;302271;94062;all;N/A;median;94062;5;10.4;4.925;87942;88355;87.94;88.36
ETB;Cali, Cali, Valle del Cauca, Colombia;;Jan 2022;84;23;all;N/A;median;23;13;330.824;12.65;40231;37240;40.23;37.24
ETB;Barranquilla, Barranquilla, Atlantico, Colombia;;Jan 2022;130;70;all;N/A;median;70;20;378.556;75.833;19486;9795;19.49;9.80
ETB;Medellín, Medellin, Antioquia, Colombia;;Jan 2022;684;247;all;N/A;median;247;8;190.833;14.1;27517;34793;27.52;34.79
EMCALI;Bogotá, Bogota, Colombia;;Jan 2022;2;1;all;N/A;median;1;11;;;11843;8031;11.84;8.03
EMCALI;Cali, Cali, Valle del Cauca, Colombia;;Jan 2022;11779;4010;all;N/A;median;4010;18;618.067;217.562;13524;9565;13.52;9.57
All Providers Combined;Bogotá, Bogota, Colombia;;feb-22;874308;264078;all;N/A;median;264078;9;171.667;72.375;81467;25663;81.47;25.66
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;feb-22;140271;41837;all;N/A;median;41837;18;33.45;107.036;64304;21793;64.30;21.79
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;feb-22;71574;21276;all;N/A;median;21276;16;527.464;11.925;60878;20769;60.88;20.77
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;feb-22;239242;75560;all;N/A;median;75560;11;346.715;9.737;64017;17416;64.02;17.42
Movistar;Bogotá, Bogota, Colombia;;feb-22;102833;30303;all;N/A;median;30303;6;108.833;57.947;143512;128884;143.51;128.88
