Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Arauca, Colombia",,may-21,627,100,N/A,cellular,mean,100,80,9897,6069,9.9,6.07
All Providers Combined,"Atlantico, Colombia",,may-21,11420,3740,N/A,cellular,mean,3740,42,20509,11054,20.51,11.05
All Providers Combined,"Bogota, Colombia",,may-21,51721,17960,N/A,cellular,mean,17960,49,18021,9914,18.02,9.91
All Providers Combined,"Bolivar, Colombia",,may-21,4132,985,N/A,cellular,mean,985,49,21683,10141,21.68,10.14
All Providers Combined,"Boyaca, Colombia",,may-21,2882,914,N/A,cellular,mean,914,56,12997,8665,13,8.67
All Providers Combined,"Caldas, Colombia",,may-21,2095,706,N/A,cellular,mean,706,58,17481,9702,17.48,9.7
All Providers Combined,"Caquetá, Colombia",,may-21,530,182,N/A,cellular,mean,182,86,11624,7848,11.62,7.85
All Providers Combined,"Casanare, Colombia",,may-21,1444,271,N/A,cellular,mean,271,64,9726,6814,9.73,6.81
All Providers Combined,"Cauca Department, Colombia",,may-21,1148,392,N/A,cellular,mean,392,61,14726,8894,14.73,8.89
All Providers Combined,"Cesar, Colombia",,may-21,2596,651,N/A,cellular,mean,651,60,15978,8475,15.98,8.48
All Providers Combined,"Choco, Colombia",,may-21,410,118,N/A,cellular,mean,118,92,8050,5313,8.05,5.31
All Providers Combined,"Cordoba, Colombia",,may-21,11504,625,N/A,cellular,mean,625,79,15411,8393,15.41,8.39
All Providers Combined,"Cundinamarca, Colombia",,may-21,11761,3729,N/A,cellular,mean,3729,49,13777,8221,13.78,8.22
All Providers Combined,"Guainia, Colombia",,may-21,48,11,N/A,cellular,mean,11,200,1211,3366,1.21,3.37
All Providers Combined,"Huila, Colombia",,may-21,1336,472,N/A,cellular,mean,472,68,14307,8693,14.31,8.69
All Providers Combined,"La Guajira, Colombia",,may-21,2235,315,N/A,cellular,mean,315,65,14336,9334,14.34,9.33
All Providers Combined,"Magdalena, Colombia",,may-21,2696,706,N/A,cellular,mean,706,52,19017,10128,19.02,10.13
All Providers Combined,"Meta, Colombia",,may-21,3199,792,N/A,cellular,mean,792,58,13521,8891,13.52,8.89
All Providers Combined,"Narino, Colombia",,may-21,1170,374,N/A,cellular,mean,374,61,17220,10267,17.22,10.27
All Providers Combined,"North Santander, Colombia",,may-21,3155,871,N/A,cellular,mean,871,62,14936,8682,14.94,8.68
All Providers Combined,"Putumayo, Colombia",,may-21,879,81,N/A,cellular,mean,81,119,7210,5177,7.21,5.18
All Providers Combined,"Quindio, Colombia",,may-21,1233,418,N/A,cellular,mean,418,60,17639,9808,17.64,9.81
All Providers Combined,"Risaralda, Colombia",,may-21,2044,755,N/A,cellular,mean,755,52,16285,8525,16.29,8.53
All Providers Combined,"San Andrés and Providencia, Colombia",,may-21,1493,244,N/A,cellular,mean,244,142,11921,7896,11.92,7.9
All Providers Combined,"Santander Department, Colombia",,may-21,7052,1923,N/A,cellular,mean,1923,54,18754,9242,18.75,9.24
All Providers Combined,"Sucre, Colombia",,may-21,1243,391,N/A,cellular,mean,391,73,18354,9365,18.35,9.37
All Providers Combined,"Tolima, Colombia",,may-21,2448,749,N/A,cellular,mean,749,45,17564,8136,17.56,8.14
All Providers Combined,"Valle del Cauca, Colombia",,may-21,11560,4042,N/A,cellular,mean,4042,52,18332,10364,18.33,10.36
All Providers Combined,"Vaupes, Colombia",,may-21,59,12,N/A,cellular,mean,12,375,562,2837,0.56,2.84
All Providers Combined,"Vichada, Colombia",,may-21,117,18,N/A,cellular,mean,18,87,2052,3743,2.05,3.74
All Providers Combined,"Guaviare, Colombia",,may-21,674,47,N/A,cellular,mean,47,138,10712,7437,10.71,7.44
All Providers Combined,"Amazonas, Colombia",,jun-21,65,23,N/A,cellular,mean,23,174,1972,4488,1.97,4.49
All Providers Combined,"Antioquia, Colombia",,jun-21,21628,7076,N/A,cellular,mean,7076,53,19301,10375,19.3,10.38
All Providers Combined,"Arauca, Colombia",,jun-21,759,121,N/A,cellular,mean,121,73,7370,5935,7.37,5.94
All Providers Combined,"Atlantico, Colombia",,jun-21,10834,3715,N/A,cellular,mean,3715,42,21494,11509,21.49,11.51
All Providers Combined,"Bogota, Colombia",,jun-21,46689,17105,N/A,cellular,mean,17105,50,18894,10260,18.89,10.26
All Providers Combined,"Bolivar, Colombia",,jun-21,2727,1042,N/A,cellular,mean,1042,47,22576,10803,22.58,10.8
All Providers Combined,"Boyaca, Colombia",,jun-21,2994,965,N/A,cellular,mean,965,59,12415,8022,12.42,8.02
