Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;oct-20;105583;38023;N/A;lte;median;38023;33;16521;8452;16.52;8.45
All Providers Combined;Colombia;;oct-20;123466;41896;N/A;cellular;median;41896;35;14291;7220;14.29;7.22
All Providers Combined;Colombia;;nov-20;15355;5822;N/A;3g;median;5822;57;3121;714;3.12;0.71
All Providers Combined;Colombia;;nov-20;101324;35447;N/A;lte;median;35447;35;14701;8397;14.70;8.40
All Providers Combined;Colombia;;nov-20;118776;39223;N/A;cellular;median;39223;37;12742;7173;12.74;7.17
All Providers Combined;Colombia;;Dec 2020;14046;5486;N/A;3g;median;5486;56;2743;704;2.74;0.70
All Providers Combined;Colombia;;Dec 2020;93112;32561;N/A;lte;median;32561;34;14005;8527;14.01;8.53
All Providers Combined;Colombia;;Dec 2020;110578;36501;N/A;cellular;median;36501;36;12101;7355;12.10;7.36
All Providers Combined;Colombia;;Jan 2021;12978;5376;N/A;3g;median;5376;55;2539;679;2.54;0.68
All Providers Combined;Colombia;;Jan 2021;95329;33488;N/A;lte;median;33488;33;12173;7584;12.17;7.58
All Providers Combined;Colombia;;Jan 2021;112216;37703;N/A;cellular;median;37703;36;10499;6512;10.50;6.51
All Providers Combined;Colombia;;feb-21;12937;5393;N/A;3g;median;5393;55;2776;707;2.78;0.71
All Providers Combined;Colombia;;feb-21;102414;34322;N/A;lte;median;34322;35;12573;8132;12.57;8.13
All Providers Combined;Colombia;;feb-21;119772;38759;N/A;cellular;median;38759;37;11030;7030;11.03;7.03
All Providers Combined;Colombia;;mar-21;16073;5941;N/A;3g;median;5941;56;2557;708;2.56;0.71
All Providers Combined;Colombia;;mar-21;116160;36649;N/A;lte;median;36649;35;12344;8039;12.34;8.04
All Providers Combined;Colombia;;mar-21;137978;41417;N/A;cellular;median;41417;37;10835;7019;10.84;7.02
All Providers Combined;Colombia;;Apr 2021;18101;7209;N/A;3g;median;7209;57;3113;753;3.11;0.75
All Providers Combined;Colombia;;Apr 2021;165864;43900;N/A;lte;median;43900;36;13265;7868;13.27;7.87
All Providers Combined;Colombia;;Apr 2021;191474;49416;N/A;cellular;median;49416;38;11903;6978;11.90;6.98
All Providers Combined;Colombia;;may-21;19639;6931;N/A;3g;median;6931;59;3050;752;3.05;0.75
All Providers Combined;Colombia;;may-21;148013;41087;N/A;lte;median;41087;37;13099;8161;13.10;8.16
All Providers Combined;Colombia;;may-21;174506;46492;N/A;cellular;median;46492;38;11587;7206;11.59;7.21
All Providers Combined;Colombia;;jun-21;18052;6509;N/A;3g;median;6509;57;2895;751;2.90;0.75
All Providers Combined;Colombia;;jun-21;126825;39418;N/A;lte;median;39418;37;13670;8492;13.67;8.49
All Providers Combined;Colombia;;jun-21;151919;44950;N/A;cellular;median;44950;38;12224;7506;12.22;7.51
All Providers Combined;Colombia;;jul-21;15953;6586;N/A;3g;median;6586;57;3002;765;3.00;0.77
All Providers Combined;Colombia;;jul-21;131147;41754;N/A;lte;median;41754;36;13475;8781;13.48;8.78
All Providers Combined;Colombia;;jul-21;157914;48385;N/A;cellular;median;48385;38;12301;7827;12.30;7.83
All Providers Combined;Colombia;;Aug 2021;15644;6011;N/A;3g;median;6011;58;2978;763;2.98;0.76
All Providers Combined;Colombia;;Aug 2021;124172;39287;N/A;lte;median;39287;36;14055;8970;14.06;8.97
All Providers Combined;Colombia;;Aug 2021;151007;45788;N/A;cellular;median;45788;37;12819;8092;12.82;8.09
All Providers Combined;Colombia;;sep-21;14063;5032;N/A;3g;median;5032;59;2804;708;2.80;0.71
All Providers Combined;Colombia;;sep-21;117161;36980;N/A;lte;median;36980;36;13389;9099;13.39;9.10
All Providers Combined;Colombia;;sep-21;142271;42950;N/A;cellular;median;42950;37;12351;8363;12.35;8.36
All Providers Combined;Colombia;;oct-21;12284;4655;N/A;3g;median;4655;59;2733;701;2.73;0.70
All Providers Combined;Colombia;;oct-21;117870;36523;N/A;lte;median;36523;37;13306;9130;13.31;9.13
All Providers Combined;Colombia;;oct-21;142797;42761;N/A;cellular;median;42761;38;12449;8411;12.45;8.41
All Providers Combined;Colombia;;nov-21;11966;4183;N/A;3g;median;4183;58;2763;680;2.76;0.68
All Providers Combined;Colombia;;nov-21;119885;33534;N/A;lte;median;33534;35;13993;9077;13.99;9.08
All Providers Combined;Colombia;;nov-21;145098;39912;N/A;cellular;median;39912;36;13342;8470;13.34;8.47
All Providers Combined;Colombia;;Dec 2021;9368;3814;N/A;3g;median;3814;57;2659;682;2.66;0.68
All Providers Combined;Colombia;;Dec 2021;108199;32388;N/A;lte;median;32388;34;14313;9422;14.31;9.42
All Providers Combined;Colombia;;Dec 2021;133197;39492;N/A;cellular;median;39492;35;13738;8800;13.74;8.80
All Providers Combined;Colombia;;Jan 2022;8592;3618;N/A;3g;median;3618;58;2779;686;2.78;0.69
All Providers Combined;Colombia;;Jan 2022;101758;32554;N/A;lte;median;32554;34;13448;9351;13.45;9.35
All Providers Combined;Colombia;;Jan 2022;125894;40030;N/A;cellular;median;40030;36;12977;8718;12.98;8.72
All Providers Combined;Colombia;;feb-22;9328;3443;N/A;3g;median;3443;57;2724;723;2.72;0.72
All Providers Combined;Colombia;;feb-22;99718;32360;N/A;lte;median;32360;33;13701;9563;13.70;9.56
All Providers Combined;Colombia;;feb-22;127721;39966;N/A;cellular;median;39966;35;13341;8945;13.34;8.95
All Providers Combined;Colombia;;mar-22;10486;3834;N/A;3g;median;3834;58;2602;701;2.60;0.70
All Providers Combined;Colombia;;mar-22;107592;34051;N/A;lte;median;34051;34;12577;9439;12.58;9.44
All Providers Combined;Colombia;;mar-22;140797;42780;N/A;cellular;median;42780;36;12348;8833;12.35;8.83
All Providers Combined;Colombia;;Apr 2022;9617;3787;N/A;3g;median;3787;58;2125;665;2.13;0.67
All Providers Combined;Colombia;;Apr 2022;103319;33304;N/A;lte;median;33304;35;11710;9188;11.71;9.19
All Providers Combined;Colombia;;Apr 2022;138846;42703;N/A;cellular;median;42703;36;11553;8689;11.55;8.69
All Providers Combined;Colombia;;may-22;8757;3421;N/A;3g;median;3421;57;2282;668;2.28;0.67
All Providers Combined;Colombia;;may-22;100412;31884;N/A;lte;median;31884;33;11616;9280;11.62;9.28
All Providers Combined;Colombia;;may-22;134900;41308;N/A;cellular;median;41308;35;11660;8938;11.66;8.94
All Providers Combined;Colombia;;jun-22;8406;3105;N/A;3g;median;3105;57;2288;665;2.29;0.67
All Providers Combined;Colombia;;jun-22;85566;28019;N/A;lte;median;28019;34;11487;9533;11.49;9.53
All Providers Combined;Colombia;;jun-22;118208;36991;N/A;cellular;median;36991;35;11489;9082;11.49;9.08
All Providers Combined;Colombia;;jul-22;7459;2887;N/A;3g;median;2887;56;2249;667;2.25;0.67
All Providers Combined;Colombia;;jul-22;84783;28037;N/A;lte;median;28037;34;11204;9633;11.20;9.63
All Providers Combined;Colombia;;jul-22;118121;37687;N/A;cellular;median;37687;35;11291;9250;11.29;9.25
All Providers Combined;Colombia;;Aug 2022;6681;2654;N/A;3g;median;2654;55;2465;668;2.47;0.67
All Providers Combined;Colombia;;Aug 2022;88634;27871;N/A;lte;median;27871;34;10780;9331;10.78;9.33
All Providers Combined;Colombia;;Aug 2022;123827;37727;N/A;cellular;median;37727;35;10943;9096;10.94;9.10
All Providers Combined;Colombia;;sep-22;6367;2489;N/A;3g;median;2489;54;2374;676;2.37;0.68
All Providers Combined;Colombia;;sep-22;88066;26991;N/A;lte;median;26991;33;11085;9469;11.09;9.47
All Providers Combined;Colombia;;sep-22;126221;37114;N/A;cellular;median;37114;34;11478;9195;11.48;9.20
All Providers Combined;Colombia;;oct-22;5203;2379;N/A;3g;median;2379;54;2125;643;2.13;0.64
All Providers Combined;Colombia;;oct-22;85974;26896;N/A;lte;median;26896;34;10575;9126;10.58;9.13
All Providers Combined;Colombia;;oct-22;123913;37443;N/A;cellular;median;37443;35;10988;8950;10.99;8.95
All Providers Combined;Colombia;;nov-22;5226;2107;N/A;3g;median;2107;53;2434;624;2.43;0.62
All Providers Combined;Colombia;;nov-22;79751;25090;N/A;lte;median;25090;34;10389;9052;10.39;9.05
All Providers Combined;Colombia;;nov-22;118262;35375;N/A;cellular;median;35375;35;10824;8966;10.82;8.97
All Providers Combined;Colombia;;Dec 2022;4449;1959;N/A;3g;median;1959;54;2489;638;2.49;0.64
All Providers Combined;Colombia;;Dec 2022;70534;23376;N/A;lte;median;23376;34;11641;9655;11.64;9.66
All Providers Combined;Colombia;;Dec 2022;106579;33905;N/A;cellular;median;33905;35;12148;9489;12.15;9.49
