Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;jul-18;7314;3636;all;N/A;median;1767;21;7268;1839;7.27;1.84
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;Aug 2018;29399;16292;all;N/A;median;8934;32;10162;2161;10.16;2.16
All Providers Combined;Bogotá, Bogota, Colombia;;Aug 2018;504495;266062;all;N/A;median;142329;14;10704;2426;10.70;2.43
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Aug 2018;126007;63318;all;N/A;median;30676;46;9720;2123;9.72;2.12
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Aug 2018;159107;85095;all;N/A;median;46932;19;10231;2118;10.23;2.12
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Aug 2018;27706;14376;all;N/A;median;7572;15;10665;2313;10.67;2.31
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2018;14544;8212;all;N/A;median;3965;13;10080;2091;10.08;2.09
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;Aug 2018;10113;5783;all;N/A;median;2215;22;9621;2100;9.62;2.10
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;Aug 2018;16346;9461;all;N/A;median;4405;21;10149;2182;10.15;2.18
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Aug 2018;14712;7861;all;N/A;median;4248;35;10146;2096;10.15;2.10
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Aug 2018;9332;4737;all;N/A;median;2364;20;8994;2080;8.99;2.08
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;sep-18;28471;16063;all;N/A;median;8830;30;10532;2271;10.53;2.27
All Providers Combined;Bogotá, Bogota, Colombia;;sep-18;499833;264512;all;N/A;median;140050;14;10751;2579;10.75;2.58
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;sep-18;115695;61478;all;N/A;median;30364;47;10170;2174;10.17;2.17
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;sep-18;137354;73140;all;N/A;median;39509;18;10441;2160;10.44;2.16
