Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Movistar;Medellín, Medellin, Antioquia, Colombia;;Apr 2018;1747;1075;all;N/A;median;891;38;;8453;1080;8.45;1.08
Movistar;Bogotá, Bogota, Colombia;;Apr 2018;35720;21477;all;N/A;median;11153;31;;6657;888;6.66;0.89
Claro;Colombia;;Apr 2018;681112;329186;all;N/A;median;175774;29;;10246;2213;10.25;2.21
Claro;Cali, Cali, Valle del Cauca, Colombia;;Apr 2018;56252;27799;all;N/A;median;14672;57;;10164;2176;10.16;2.18
Claro;Cartagena, Cartagena, Bolívar, Colombia;;Apr 2018;2216;1024;all;N/A;median;557;13;;10614;2597;10.61;2.60
Claro;Medellín, Medellin, Antioquia, Colombia;;Apr 2018;65802;31456;all;N/A;median;18144;39;;10656;2687;10.66;2.69
Claro;Bogotá, Bogota, Colombia;;Apr 2018;250921;123421;all;N/A;median;68219;15;;10568;2256;10.57;2.26
Tigo;Colombia;;Apr 2018;296096;151609;all;N/A;median;79363;20;;8018;1949;8.02;1.95
Tigo;Cali, Cali, Valle del Cauca, Colombia;;Apr 2018;21422;9605;all;N/A;median;4786;27;;5579;1905;5.58;1.91
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;Apr 2018;7501;3537;all;N/A;median;1882;13;;8146;1936;8.15;1.94
Tigo;Medellín, Medellin, Antioquia, Colombia;;Apr 2018;126586;67511;all;N/A;median;37418;17;;8470;1978;8.47;1.98
Tigo;Bogotá, Bogota, Colombia;;Apr 2018;23814;12480;all;N/A;median;7644;11;;8438;1991;8.44;1.99
ETB;Colombia;;Apr 2018;155095;86874;all;N/A;median;48497;12;;12091;7347;12.09;7.35
ETB;Cali, Cali, Valle del Cauca, Colombia;;Apr 2018;17;17;all;N/A;median;17;61;;4060;2290;4.06;2.29
ETB;Cartagena, Cartagena, Bolívar, Colombia;;Apr 2018;11;7;all;N/A;median;6;48;;2083;2063;2.08;2.06
ETB;Medellín, Medellin, Antioquia, Colombia;;Apr 2018;454;263;all;N/A;median;206;14;;8281;5849;8.28;5.85
ETB;Bogotá, Bogota, Colombia;;Apr 2018;121670;68394;all;N/A;median;39161;8;;13153;8540;13.15;8.54
All Providers Combined;Colombia;;may-18;1555388;819576;all;N/A;median;396094;28;;8310;1993;8.31;1.99
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;may-18;107708;56766;all;N/A;median;27463;47;;8179;1974;8.18;1.97
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;may-18;16757;7886;all;N/A;median;3966;16;;9194;2038;9.19;2.04
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;may-18;205795;108453;all;N/A;median;59115;25;;9295;2097;9.30;2.10
All Providers Combined;Bogotá, Bogota, Colombia;;may-18;474023;249155;all;N/A;median;135150;15;;10106;2211;10.11;2.21
Movistar;Colombia;;may-18;233749;142267;all;N/A;median;61054;39;;5268;864;5.27;0.86
Movistar;Cali, Cali, Valle del Cauca, Colombia;;may-18;7487;4612;all;N/A;median;1927;35;;9044;1069;9.04;1.07
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;may-18;2770;1732;all;N/A;median;861;58;;9579;1201;9.58;1.20
Movistar;Medellín, Medellin, Antioquia, Colombia;;may-18;1461;886;all;N/A;median;747;41;;7299;1040;7.30;1.04
Movistar;Bogotá, Bogota, Colombia;;may-18;33864;20846;all;N/A;median;11076;31;;6457;892;6.46;0.89
Claro;Colombia;;may-18;649631;326340;all;N/A;median;175139;27;;10536;2267;10.54;2.27
Claro;Cali, Cali, Valle del Cauca, Colombia;;may-18;55253;28626;all;N/A;median;15095;55;;10471;2216;10.47;2.22
Claro;Cartagena, Cartagena, Bolívar, Colombia;;may-18;2700;1071;all;N/A;median;574;13;;10730;2947;10.73;2.95
Claro;Medellín, Medellin, Antioquia, Colombia;;may-18;62557;30903;all;N/A;median;17945;39;;10714;2859;10.71;2.86
Claro;Bogotá, Bogota, Colombia;;may-18;239792;121444;all;N/A;median;67229;14;;10646;2287;10.65;2.29
Tigo;Colombia;;may-18;287188;149709;all;N/A;median;77809;19;;8044;1976;8.04;1.98
Tigo;Cali, Cali, Valle del Cauca, Colombia;;may-18;19622;9376;all;N/A;median;4657;26;;5933;1944;5.93;1.94
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;may-18;7952;3787;all;N/A;median;2074;13;;8331;2008;8.33;2.01
Tigo;Medellín, Medellin, Antioquia, Colombia;;may-18;121304;65390;all;N/A;median;36049;16;;8619;2017;8.62;2.02
Tigo;Bogotá, Bogota, Colombia;;may-18;23361;12422;all;N/A;median;7397;11;;8917;2020;8.92;2.02
ETB;Colombia;;may-18;153124;86898;all;N/A;median;48099;10;;12081;7390;12.08;7.39
ETB;Cali, Cali, Valle del Cauca, Colombia;;may-18;20;15;all;N/A;median;14;28;;5956;3042;5.96;3.04
ETB;Cartagena, Cartagena, Bolívar, Colombia;;may-18;3;3;all;N/A;median;2;109;;7761;1082;7.76;1.08
ETB;Medellín, Medellin, Antioquia, Colombia;;may-18;566;315;all;N/A;median;242;19;;7929;2795;7.93;2.80
ETB;Bogotá, Bogota, Colombia;;may-18;118082;67474;all;N/A;median;38558;7;;13654;9428;13.65;9.43
All Providers Combined;Colombia;;jun-18;1425320;746237;all;N/A;median;364117;27;;8558;2029;8.56;2.03
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jun-18;95175;48884;all;N/A;median;25407;45;;8772;2021;8.77;2.02
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;jun-18;15896;8164;all;N/A;median;3937;16;;9514;2038;9.51;2.04
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jun-18;186234;97457;all;N/A;median;53724;23;;9458;2101;9.46;2.10
All Providers Combined;Bogotá, Bogota, Colombia;;jun-18;452519;234939;all;N/A;median;127284;15;;10225;2244;10.23;2.24
Movistar;Colombia;;jun-18;210901;128193;all;N/A;median;56209;39;;5203;856;5.20;0.86
Movistar;Cali, Cali, Valle del Cauca, Colombia;;jun-18;5472;3462;all;N/A;median;1806;35;;8076;1010;8.08;1.01
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;jun-18;4055;2476;all;N/A;median;1127;50;;7371;1062;7.37;1.06
Movistar;Medellín, Medellin, Antioquia, Colombia;;jun-18;1447;752;all;N/A;median;600;40;;6560;1019;6.56;1.02
Movistar;Bogotá, Bogota, Colombia;;jun-18;33212;20046;all;N/A;median;10773;31;;6063;871;6.06;0.87
Claro;Colombia;;jun-18;612080;302193;all;N/A;median;163431;25;;10604;2318;10.60;2.32
Claro;Cali, Cali, Valle del Cauca, Colombia;;jun-18;52688;26067;all;N/A;median;14571;52;;10558;2256;10.56;2.26
Claro;Cartagena, Cartagena, Bolívar, Colombia;;jun-18;2270;1138;all;N/A;median;586;13;;12155;3141;12.16;3.14
Claro;Medellín, Medellin, Antioquia, Colombia;;jun-18;59373;28985;all;N/A;median;17094;38;;10742;2980;10.74;2.98
Claro;Bogotá, Bogota, Colombia;;jun-18;240341;119016;all;N/A;median;65986;14;;10679;2327;10.68;2.33
Tigo;Colombia;;jun-18;260308;136878;all;N/A;median;71881;16;;8425;1998;8.43;2.00
Tigo;Cali, Cali, Valle del Cauca, Colombia;;jun-18;15138;7513;all;N/A;median;3938;24;;6950;1984;6.95;1.98
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;jun-18;6436;3416;all;N/A;median;1835;12;;9301;2023;9.30;2.02
Tigo;Medellín, Medellin, Antioquia, Colombia;;jun-18;108363;58316;all;N/A;median;32416;13;;8795;2018;8.80;2.02
Tigo;Bogotá, Bogota, Colombia;;jun-18;21509;11486;all;N/A;median;6785;11;;8681;2028;8.68;2.03
ETB;Colombia;;jun-18;143942;79711;all;N/A;median;44013;10;;11896;6903;11.90;6.90
ETB;Cali, Cali, Valle del Cauca, Colombia;;jun-18;12;10;all;N/A;median;10;20;;1525;793;1.53;0.79
ETB;Cartagena, Cartagena, Bolívar, Colombia;;jun-18;7;4;all;N/A;median;4;64;;1962;6061;1.96;6.06
ETB;Medellín, Medellin, Antioquia, Colombia;;jun-18;447;234;all;N/A;median;166;22;;7113;1782;7.11;1.78
ETB;Bogotá, Bogota, Colombia;;jun-18;114068;63852;all;N/A;median;36082;8;;13158;8401;13.16;8.40
All Providers Combined;Colombia;;jul-18;1501353;797284;all;N/A;median;387949;26;;9105;2066;9.11;2.07
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jul-18;108435;55686;all;N/A;median;27790;47;;9400;2095;9.40;2.10
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;jul-18;17452;9849;all;N/A;median;4471;22;;9803;2026;9.80;2.03
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jul-18;186075;98935;all;N/A;median;54573;23;;9624;2102;9.62;2.10
All Providers Combined;Bogotá, Bogota, Colombia;;jul-18;483557;254797;all;N/A;median;138772;15;;10432;2264;10.43;2.26
Movistar;Colombia;;jul-18;218061;134737;all;N/A;median;58768;38;;5227;855;5.23;0.86
Movistar;Cali, Cali, Valle del Cauca, Colombia;;jul-18;7217;4499;all;N/A;median;2135;34;;9978;1160;9.98;1.16
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;jul-18;5809;3692;all;N/A;median;1465;47;;8171;1078;8.17;1.08
Movistar;Medellín, Medellin, Antioquia, Colombia;;jul-18;992;584;all;N/A;median;518;36;;5295;876;5.30;0.88
Movistar;Bogotá, Bogota, Colombia;;jul-18;34166;20791;all;N/A;median;11033;30;;6140;866;6.14;0.87
Claro;Colombia;;jul-18;661252;332434;all;N/A;median;179204;23;;10685;2340;10.69;2.34
Claro;Cali, Cali, Valle del Cauca, Colombia;;jul-18;61267;30636;all;N/A;median;16302;54;;10668;2318;10.67;2.32
Claro;Cartagena, Cartagena, Bolívar, Colombia;;jul-18;2302;1222;all;N/A;median;609;13;;10793;3001;10.79;3.00
Claro;Medellín, Medellin, Antioquia, Colombia;;jul-18;55356;27960;all;N/A;median;16624;39;;10840;2979;10.84;2.98
Claro;Bogotá, Bogota, Colombia;;jul-18;259665;130572;all;N/A;median;73156;14;;10724;2358;10.72;2.36
Tigo;Colombia;;jul-18;266864;141544;all;N/A;median;74441;16;;8658;2021;8.66;2.02
Tigo;Cali, Cali, Valle del Cauca, Colombia;;jul-18;20754;9614;all;N/A;median;4804;25;;6412;2028;6.41;2.03
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;jul-18;6808;3638;all;N/A;median;2012;12;;9759;2045;9.76;2.05
Tigo;Medellín, Medellin, Antioquia, Colombia;;jul-18;109671;59423;all;N/A;median;33106;13;;9047;2034;9.05;2.03
Tigo;Bogotá, Bogota, Colombia;;jul-18;22007;12303;all;N/A;median;7508;11;;8790;2011;8.79;2.01
ETB;Colombia;;jul-18;151147;84874;all;N/A;median;46565;9;;12110;7261;12.11;7.26
ETB;Cali, Cali, Valle del Cauca, Colombia;;jul-18;19;17;all;N/A;median;17;21;;632;539;0.63;0.54
ETB;Cartagena, Cartagena, Bolívar, Colombia;;jul-18;11;8;all;N/A;median;5;93;;5217;9349;5.22;9.35
ETB;Medellín, Medellin, Antioquia, Colombia;;jul-18;529;205;all;N/A;median;155;20;;9044;3594;9.04;3.59
ETB;Bogotá, Bogota, Colombia;;jul-18;122254;69642;all;N/A;median;39092;7;;13330;8576;13.33;8.58
All Providers Combined;Colombia;;Aug 2018;1661066;876635;all;N/A;median;425943;24;;9729;2121;9.73;2.12
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Aug 2018;126007;63318;all;N/A;median;30676;46;;9720;2123;9.72;2.12
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2018;14544;8212;all;N/A;median;3965;13;;10080;2091;10.08;2.09
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Aug 2018;159107;85095;all;N/A;median;46932;19;;10231;2118;10.23;2.12
All Providers Combined;Bogotá, Bogota, Colombia;;Aug 2018;504495;266062;all;N/A;median;142329;14;;10704;2426;10.70;2.43
Movistar;Colombia;;Aug 2018;216086;133520;all;N/A;median;58831;37;;5246;858;5.25;0.86
Movistar;Cali, Cali, Valle del Cauca, Colombia;;Aug 2018;8893;5623;all;N/A;median;2685;33;;9423;1111;9.42;1.11
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2018;2386;1516;all;N/A;median;807;60;;8325;1087;8.33;1.09
Movistar;Medellín, Medellin, Antioquia, Colombia;;Aug 2018;1084;635;all;N/A;median;571;44;;5250;838;5.25;0.84
Movistar;Bogotá, Bogota, Colombia;;Aug 2018;33935;21155;all;N/A;median;11256;30;;6132;875;6.13;0.88
Claro;Colombia;;Aug 2018;739086;369671;all;N/A;median;196244;23;;10737;2412;10.74;2.41
Claro;Cali, Cali, Valle del Cauca, Colombia;;Aug 2018;65907;32996;all;N/A;median;17284;53;;10731;2383;10.73;2.38
Claro;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2018;2105;1195;all;N/A;median;633;13;;10874;3236;10.87;3.24
Claro;Medellín, Medellin, Antioquia, Colombia;;Aug 2018;43527;21876;all;N/A;median;12082;40;;11021;2922;11.02;2.92
Claro;Bogotá, Bogota, Colombia;;Aug 2018;285653;141354;all;N/A;median;76937;14;;10783;2417;10.78;2.42
Tigo;Colombia;;Aug 2018;317896;166477;all;N/A;median;86978;16;;9197;2052;9.20;2.05
Tigo;Cali, Cali, Valle del Cauca, Colombia;;Aug 2018;30315;12685;all;N/A;median;5849;27;;6636;2045;6.64;2.05
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2018;7486;4116;all;N/A;median;2047;11;;10063;2071;10.06;2.07
Tigo;Medellín, Medellin, Antioquia, Colombia;;Aug 2018;100100;54672;all;N/A;median;31168;11;;9906;2075;9.91;2.08
Tigo;Bogotá, Bogota, Colombia;;Aug 2018;27611;15265;all;N/A;median;9156;10;;9429;2050;9.43;2.05
ETB;Colombia;;Aug 2018;167177;94470;all;N/A;median;52138;7;;13012;8267;13.01;8.27
ETB;Cali, Cali, Valle del Cauca, Colombia;;Aug 2018;11;10;all;N/A;median;9;23;;3294;3004;3.29;3.00
ETB;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2018;5;5;all;N/A;median;4;42;;12928;10800;12.93;10.80
ETB;Medellín, Medellin, Antioquia, Colombia;;Aug 2018;559;276;all;N/A;median;199;13;;10272;9991;10.27;9.99
ETB;Bogotá, Bogota, Colombia;;Aug 2018;138361;78903;all;N/A;median;44310;7;;13846;9535;13.85;9.54
All Providers Combined;Colombia;;sep-18;1676862;883876;all;N/A;median;429534;26;;10011;2153;10.01;2.15
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;sep-18;115695;61478;all;N/A;median;30364;47;;10170;2174;10.17;2.17
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;sep-18;16992;9175;all;N/A;median;4406;14;;9958;2085;9.96;2.09
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;sep-18;137354;73140;all;N/A;median;39509;18;;10441;2160;10.44;2.16
All Providers Combined;Bogotá, Bogota, Colombia;;sep-18;499833;264512;all;N/A;median;140050;14;;10751;2579;10.75;2.58
Movistar;Colombia;;sep-18;212078;132536;all;N/A;median;59473;36;;5343;861;5.34;0.86
Movistar;Cali, Cali, Valle del Cauca, Colombia;;sep-18;8990;5727;all;N/A;median;2701;33;;9722;1124;9.72;1.12
Movistar;Cartagena, Cartagena, Bolívar, Colombia;;sep-18;3392;2133;all;N/A;median;1075;53;;8717;1099;8.72;1.10
Movistar;Medellín, Medellin, Antioquia, Colombia;;sep-18;694;435;all;N/A;median;370;45;;5611;863;5.61;0.86
Movistar;Bogotá, Bogota, Colombia;;sep-18;34339;21609;all;N/A;median;11405;30;;6173;877;6.17;0.88
Claro;Colombia;;sep-18;791069;390406;all;N/A;median;206525;28;;10776;2512;10.78;2.51
Claro;Cali, Cali, Valle del Cauca, Colombia;;sep-18;66791;34331;all;N/A;median;17928;53;;10745;2435;10.75;2.44
Claro;Cartagena, Cartagena, Bolívar, Colombia;;sep-18;2324;1254;all;N/A;median;645;13;;10857;3198;10.86;3.20
Claro;Medellín, Medellin, Antioquia, Colombia;;sep-18;46250;22765;all;N/A;median;12521;40;;12374;3114;12.37;3.11
Claro;Bogotá, Bogota, Colombia;;sep-18;293809;146407;all;N/A;median;79663;14;;10822;2500;10.82;2.50
Tigo;Colombia;;sep-18;284078;152667;all;N/A;median;80306;16;;9429;2066;9.43;2.07
Tigo;Cali, Cali, Valle del Cauca, Colombia;;sep-18;18422;9151;all;N/A;median;4566;25;;7557;2073;7.56;2.07
Tigo;Cartagena, Cartagena, Bolívar, Colombia;;sep-18;8588;4343;all;N/A;median;2213;12;;9891;2067;9.89;2.07
