Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,may-20,911,195,N/A,cellular,mean,195,55,26035,11611,26.04,11.61
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,may-20,523,197,N/A,cellular,mean,197,50,22319,11878,22.32,11.88
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,may-20,1522,651,N/A,cellular,mean,651,48,22356,10443,22.36,10.44
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,may-20,480,215,N/A,cellular,mean,215,52,23650,12477,23.65,12.48
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,may-20,5794,2357,N/A,cellular,mean,2357,46,21188,10050,21.19,10.05
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,may-20,481,195,N/A,cellular,mean,195,45,23307,9690,23.31,9.69
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,may-20,1227,496,N/A,cellular,mean,496,47,20457,10458,20.46,10.46
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,may-20,711,342,N/A,cellular,mean,342,55,23196,8779,23.2,8.78
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,may-20,8333,4147,N/A,cellular,mean,4147,53,20989,9681,20.99,9.68
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,may-20,395,174,N/A,cellular,mean,174,56,23986,11507,23.99,11.51
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,may-20,317,124,N/A,cellular,mean,124,66,20994,9211,20.99,9.21
All Providers Combined,"Bucaramanga, Bucaramanga, Santander Department, Colombia",,may-20,1690,850,N/A,cellular,mean,850,55,20128,9231,20.13,9.23
All Providers Combined,"Tunja, Tunja, Boyacá, Colombia",,may-20,525,262,N/A,cellular,mean,262,45,20219,11316,20.22,11.32
All Providers Combined,Colombia,,jun-20,123319,42965,N/A,cellular,mean,42965,43,19036,9440,19.04,9.44
All Providers Combined,"Bogotá, Bogota, Colombia",,jun-20,49656,18693,N/A,cellular,mean,18693,37,18042,9661,18.04,9.66
All Providers Combined,"Cali, Cali, Valle del Cauca, Colombia",,jun-20,9275,3457,N/A,cellular,mean,3457,44,22269,11580,22.27,11.58
